Method,Dataset,Model,n_classes,size,calib_size,test_size,logits,accuracy_mean,accuracy_std,log-loss_mean,log-loss_std,ECE_mean,ECE_std,ECE_15bins_mean,ECE_15bins_std,MCE_mean,MCE_std,sharpness_mean,sharpness_std,overconfidence_mean,overconfidence_std,underconfidence_mean,underconfidence_std,avg_confidence_mean,avg_confidence_std,weighted_abs_conf_difference_mean,weighted_abs_conf_difference_std,cal_time_mean,cal_time_std,fit_time_mean,fit_time_std
Isotonic,CIFAR-100,alexnet,100,10000,1000,9000,False,0.4223666666666667,0.003982489105915798,5.120241528524902,0.3513992413596636,0.12317890011223342,0.010152745594608378,0.12048471164021168,0.0101205638974286,0.35010921110606164,0.03672695751229104,0.3625406700872146,0.007138776080275079,0.4076112436798339,0.012320527005604352,0.26675789385835574,0.008155258033354493,0.5451346213513077,0.010589074374939774,0.12276795468464115,0.010270256827897875,0.13078954219818115,0.0006778233303906366,0.05501160621643066,0.0012913747294605667
Isotonic,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False,0.8137444444444444,0.003247052055442619,2.7897961595889718,0.15155503414424992,0.05988363698576884,0.0061543749753043865,0.03955776584109806,0.007073423346710296,0.3261943973900495,0.0895347790858245,0.19827771335092503,0.01017359057521911,0.5898222829557849,0.014386600801028179,0.06218255082828853,0.004696621321405437,0.8730081802897247,0.005883013849323757,0.05926373584528022,0.0075969693829559684,0.1266723871231079,0.0009229930042651523,0.06624267101287842,0.036214223458612194
Isotonic,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False,0.8145555555555555,0.002674884457076749,2.865395857541521,0.16572395200755807,0.062048820968136,0.005800114556653412,0.04209694457144271,0.006562124404536655,0.33115157253449795,0.0545243736792528,0.18880120265006092,0.012534372280304391,0.6002241593887642,0.018713069876003918,0.060655292250882696,0.00446325102951347,0.8764528223273744,0.006775616008459941,0.06189726677181893,0.007299480606439125,0.12589364051818847,0.0006639668855801863,0.06006929874420166,0.020561237265359578
Isotonic,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False,0.8155222222222223,0.0021056133742346664,2.8745500005041693,0.1737421050968617,0.06649294753526049,0.0036408811003470383,0.04771513422684827,0.0032152082058766636,0.32008979465894755,0.039044171979664095,0.16917107358968644,0.005552488904351599,0.6319073709480173,0.008720677670740043,0.06149399289890295,0.002721408303273923,0.881938009467748,0.0032665782052491463,0.0664157872455258,0.00387945584291114,0.12459330558776856,0.0011998128033479764,0.05971839427947998,0.020112323910833504
Isotonic,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False,0.8048,0.0020910679467081596,2.920147672795559,0.16609939768458098,0.06606110862374157,0.003977717022674985,0.04636010961241431,0.004492776287286332,0.43241930370418746,0.2437537805684886,0.1988077094367072,0.01118891548209876,0.6015879497740224,0.012789427085932467,0.0656345522414955,0.0025201612654973627,0.8694011471064492,0.004388080869169036,0.06460114710644929,0.004435485420889121,0.12646281719207764,0.0004970724053128171,0.05978679656982422,0.020526944004129088
Beta,CIFAR-100,alexnet,100,10000,1000,9000,False,0.43133333333333324,0.0037904652598520694,2.4897650283561017,0.12075931619260462,0.07837421324354657,0.009085039873352976,0.07251606084656087,0.011433541258178656,0.301808598341437,0.0563724390802086,0.359917816096344,0.0032853537926021297,0.3660582725695928,0.011180230746810505,0.3133196162283207,0.009553307989307945,0.5043466325580154,0.009711281697124402,0.07301329922468197,0.011656494780524575,0.45207254886627196,0.0045610585736875035,0.21570711135864257,0.020539904864020936
Beta,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False,0.8176111111111112,0.002291063332475894,1.1603529100616357,0.08217051633965457,0.04921688888888888,0.005448980460872368,0.02897800000000002,0.005297164097822589,0.2857326149863577,0.04467583842999962,0.21394359027759804,0.011449259262980377,0.5663569320112697,0.0153317579481641,0.0734773483746901,0.004797208868465231,0.8608387893171132,0.006273036880149554,0.04322767820600201,0.007377035318301209,0.2871293783187866,0.002031572885655675,0.2022688865661621,0.020855506659518623
Beta,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False,0.8180666666666667,0.003422751281856233,1.1832372806884286,0.0588344596461518,0.051996184062850725,0.005359110451001409,0.03282523809523809,0.004876471757053448,0.337549202386731,0.10246796000578261,0.20682952192205245,0.012440500772281843,0.5755665182685495,0.016177523883255527,0.07168896230653493,0.005371645469867951,0.8641398199352393,0.0067375510379473124,0.04607315326857261,0.008365698556690154,0.2878330945968628,0.0006562585160330525,0.20479891300201417,0.019694352602084738
Beta,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False,0.8189222222222222,0.0019394468403746297,1.1673286221966812,0.1008139558006707,0.05430949046015711,0.0036422423215478747,0.0370270687830688,0.004010335946581413,0.5096246314072401,0.27672799640795886,0.17599247430357837,0.00627853365496721,0.6122664756277069,0.010557247568463452,0.07373920745335624,0.0035807764415584937,0.8694008752610941,0.004551464847846719,0.05047865303887185,0.005054567495455209,0.2925481081008911,0.001072081083512592,0.20246295928955077,0.021647839241698517
Beta,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False,0.8083555555555556,0.0018701319980114317,1.1752389297387464,0.06729397634073123,0.053933471380471366,0.0031248588789670063,0.03663340476190478,0.0037649458937313324,0.3384748747390178,0.05199106898227533,0.20468149573236163,0.008865624446920803,0.583527986279463,0.009931044307167498,0.07863667453817022,0.003366168536496093,0.8566161241588179,0.004512190591756855,0.0482605686032624,0.004661470312254124,0.28149712085723877,0.0036814340402689873,0.20055749416351318,0.02235618192566235
Platt,CIFAR-100,alexnet,100,10000,1000,9000,False,0.4380333333333334,0.004002416965258115,3.0731180468111967,0.10666636632620034,0.07195441414141415,0.0090317798495581,0.06031409523809521,0.006390480801289063,0.19419530814119318,0.0302722340432342,0.18804320438985975,0.005017430554631826,0.31198183083193803,0.013276715806148337,0.49974461263843883,0.016025930858272284,0.39444149930861927,0.013821371058220835,0.043591834024714046,0.017195049309083568,0.1280001163482666,0.0006368579834413549,0.2914261341094971,0.02108765692998098
Platt,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False,0.8187777777777778,0.0020143517986499306,1.4343904008976731,0.08043743683053173,0.08818547586980924,0.0040162823890293,0.07192748677248674,0.013935012023337034,0.4228078809747343,0.053887141847506516,0.14881060381347588,0.00974492130871758,0.5836643378102429,0.01786225190694533,0.16094265514671927,0.010210650874586868,0.7927759512813404,0.010887237216720403,0.02600182649643748,0.012464139268500334,0.12580497264862062,0.0006712162749613773,0.32624058723449706,0.021761133502458695
Platt,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False,0.8180777777777779,0.0031234543502649957,1.4816823147045166,0.0677676184189396,0.09004900336700339,0.004054600048095247,0.06965418518518515,0.01331681196993316,0.4513770680228991,0.05623326128851488,0.1473656807374905,0.009931072434344925,0.5881576309494105,0.019493429152548866,0.15829405419318157,0.010190934059318693,0.7955878320923129,0.01140099035242409,0.022652114174669804,0.012473936248939409,0.12819502353668213,0.0005225791712235718,0.3292833805084229,0.020244358387299512
Platt,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False,0.821811111111111,0.001847439187109707,1.4518466134005252,0.10956988542610771,0.08013043097643098,0.006142848772104802,0.0566375264550264,0.008866119975888194,0.4888878408413292,0.10682839672692598,0.1004601732584283,0.007653090429111306,0.6658303597900048,0.01824091431546624,0.1472670403706477,0.009633476484237888,0.8194250918611676,0.010577560934014778,0.00890330498022571,0.007099225490630403,0.12749626636505126,0.0008882356858705812,0.32339723110198976,0.017936650886967876
Platt,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False,0.8105333333333332,0.0018737959096740385,1.491428470980467,0.09195378868425555,0.08379499438832773,0.005600863125178605,0.07142365343915341,0.014306957737208645,0.4642207007967878,0.05709182155763491,0.13262819659255637,0.005678403450045641,0.6126014468343554,0.019323907249460294,0.16873057743197414,0.010712504241059982,0.7898430988231271,0.011970774079555511,0.02069023451020614,0.012801843621237175,0.1286076784133911,0.001416933194145839,0.31996042728424073,0.021085717313358864
BBQ,CIFAR-100,alexnet,100,10000,1000,9000,False,0.31117777777777783,0.011855115291442274,3.568267752918506,0.07872636764766025,0.047780014590347926,0.005784204189409804,0.03664339947089946,0.00724927664198398,0.2497205004318948,0.04770995544664606,0.17443807577190815,0.019735204610148,0.21514935242957578,0.011144244482185948,0.5466104249504772,0.01990481459565857,0.28933254291466365,0.014322166302036273,0.021845234863114148,0.009303767331460357,14.959563589096069,0.34405235333960527,9.039713382720947,0.14137654827831217
BBQ,CIFAR-100,resnext-8x64d,100,10000,1000,9000,False,0.7940777777777778,0.001979351572475761,1.365576487871656,0.04875471121166169,0.0392195001161182,0.008847638286583127,0.020572321961140026,0.010914011599790429,0.25457903316726843,0.07898761870420204,0.2887558782215947,0.01326430792818746,0.47745324982450066,0.016501614256353627,0.095688808317519,0.006352849444599034,0.8163975293023326,0.00796405636494228,0.02231975152455478,0.007248854876391819,15.232108235359192,0.17371143724987395,8.926360845565796,0.04553621570980403
BBQ,CIFAR-100,resnext-16x64d,100,10000,1000,9000,False,0.7966,0.004253683951646374,1.3285877899041763,0.038169201734801476,0.036483964920564584,0.007826922802142058,0.022272661944290763,0.006546951954706368,0.3824191421577246,0.27231738505885156,0.27153700440839185,0.009041889232419827,0.48838898304971856,0.014905012319753202,0.09291564686873546,0.004480580761911754,0.8218988605980726,0.0074467083734962025,0.025298860598072626,0.005447804681326094,14.88118643760681,0.3113717266456807,9.062968802452087,0.08465984289464934
BBQ,CIFAR-100,densenet-bc-l190-k40,100,10000,1000,9000,False,0.7938444444444445,0.0040219562015570065,1.3475938497829316,0.04289961572262035,0.03763369505081425,0.004930498390489251,0.01950538059540586,0.006855872323193456,0.191706874693706,0.02964975908772081,0.2700085728516374,0.010295104667435228,0.4990868942957484,0.010250604451332293,0.10210956842802292,0.0044454276483805654,0.8156597285443314,0.005891337234928141,0.021815284099887026,0.0045569366369379825,14.716217589378356,0.31680515595078956,9.128208470344543,0.04633819886565476
BBQ,CIFAR-100,WRN-28-10-drop,100,10000,1000,9000,False,0.7821777777777779,0.0035148909174916635,1.4590888417401198,0.06419842144838458,0.03836864356300601,0.004578548486516446,0.020214689201738394,0.007478921409857573,0.3010484644332322,0.21961452246977958,0.2911580590794677,0.01741266827577591,0.4814208566911492,0.01886399635044408,0.10203430423013982,0.0057225362925494416,0.8072058793533252,0.008896380014372696,0.025028101575547378,0.007717746197353772,14.568798542022705,0.27576799400609375,9.071744084358215,0.03370523275420051
