,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.6777777777777778,1.341702910783406,0.13244109988776648,0.1311579365079365,0.2850065167807103,0.1766653681957783,0.44471531149724164,0.40473221869307785,0.5467564299238029,0.1310213478539749,0.005152225494384766,0.005828142166137695,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
1,0.6786666666666666,1.1061292730232692,0.12419115600448928,0.12357195767195767,0.8230808080808081,0.18044592018615857,0.4508874590619256,0.3954428967684066,0.5551779242384067,0.1234887424282598,0.005082130432128906,0.0055768489837646484,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
2,0.6813333333333333,1.2169126484822517,0.13533694725028056,0.13507010582010578,0.8140909090909091,0.16932867108073282,0.4457729569215236,0.4062215566116256,0.5466140283676045,0.13471930496572873,0.00499725341796875,0.005672454833984375,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
3,0.6798888888888889,1.1263933848369516,0.1375186756453423,0.13705820105820107,0.3516666666666667,0.15512919710877213,0.4460210999257282,0.41216216435930325,0.5424407227968274,0.13744816609206148,0.0050852298736572266,0.005566596984863281,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
4,0.6791111111111111,1.1556259776444087,0.1456089674523007,0.14444788359788363,0.8230808080808081,0.17146592537543756,0.43809512153312496,0.419154516203705,0.5350384786611802,0.14407263244993107,0.0050427913665771484,0.005539894104003906,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
5,0.6785555555555556,1.2369354872691654,0.12939896745230076,0.12911772486772485,0.2606565656565656,0.1747488735441125,0.4473408983971255,0.4025742549848978,0.549181804874457,0.12937375068109852,0.005030632019042969,0.005548715591430664,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
6,0.6748888888888889,1.2630868969791553,0.10943138047138043,0.10714947089947088,0.3140909090909091,0.19190240094787597,0.4750541670776406,0.3863603430939334,0.5685839743240695,0.10630491456481944,0.004973173141479492,0.005565643310546875,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
7,0.6677777777777778,1.2540695139465536,0.12361402918069583,0.11835052910052911,0.2766340621403912,0.1742586422935815,0.43782751973842277,0.393830736396715,0.5502423953637363,0.11753538241404149,0.00492405891418457,0.0055544376373291016,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
8,0.686,1.2917559464309594,0.13738919191919186,0.13654232804232802,0.24055555555555552,0.18075152055491342,0.4501059719205428,0.4053139097120734,0.5492879331205682,0.13671206687943196,0.005020618438720703,0.005532264709472656,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
9,0.6832222222222222,1.2609065038670673,0.14391698092031416,0.14361904761904762,0.2871212121212121,0.16475286712996404,0.44248358111137703,0.4155501040023028,0.5394781222487083,0.14374409997351376,0.004942893981933594,0.005551815032958984,Isotonic,MNIST,AdaBoost,10,10000,1000,9000
0,0.9291111111111111,0.5047560530585191,0.01842395061728393,0.026154761904761906,0.6702525252525252,0.08743178433505426,0.6655392565177878,0.044308041012251435,0.9351233563015446,0.006012245190433571,0.004481315612792969,0.0056040287017822266,Isotonic,MNIST,XGBoost,10,10000,1000,9000
1,0.9313333333333333,0.503412006882717,0.017373075196408554,0.028694444444444408,0.4016666666666667,0.07964735787545368,0.674902773869333,0.042416611823934004,0.9381726526603369,0.00683931932700365,0.004392862319946289,0.005495548248291016,Isotonic,MNIST,XGBoost,10,10000,1000,9000
2,0.9302222222222222,0.4739618171775629,0.019788002244668902,0.030378571428571397,0.7152020202020202,0.08712225621600621,0.6661794637772511,0.04556264768847164,0.9343233574226922,0.004101135200469938,0.004428863525390625,0.0054471492767333984,Isotonic,MNIST,XGBoost,10,10000,1000,9000
3,0.9318888888888889,0.3902407755864438,0.016500707070707072,0.02517883597883599,0.3207575757575758,0.0816140844898792,0.6747651974966604,0.04323489441212914,0.9375577785145474,0.005668889625658424,0.004430055618286133,0.005445718765258789,Isotonic,MNIST,XGBoost,10,10000,1000,9000
4,0.9302222222222222,0.805773177516472,0.018404646464646505,0.024273015873015825,0.5983333333333333,0.0772555429613044,0.6971909085505124,0.03643444239051125,0.9449785265418181,0.014756304319595764,0.004162788391113281,0.0054743289947509766,Isotonic,MNIST,XGBoost,10,10000,1000,9000
5,0.9306666666666666,0.40190593542017217,0.017567081930415278,0.027246560846560814,0.39267676767676774,0.07712224725809291,0.6833646008782281,0.04156725715762085,0.9393613516661979,0.008694684999531362,0.00436711311340332,0.0054700374603271484,Isotonic,MNIST,XGBoost,10,10000,1000,9000
6,0.93,0.610151340612373,0.017674466891133597,0.02743174603174603,0.6882323232323232,0.07575038306576133,0.6884003229004717,0.04055101482208161,0.9404755788184971,0.010475578818497089,0.00428009033203125,0.005492210388183594,Isotonic,MNIST,XGBoost,10,10000,1000,9000
7,0.9326666666666666,0.6252650248812653,0.015119685746352439,0.02520820105820105,0.6882323232323232,0.08041863799270636,0.6872001399111659,0.039171838694036946,0.9424038745320465,0.009737207865380064,0.004233598709106445,0.005422830581665039,Isotonic,MNIST,XGBoost,10,10000,1000,9000
8,0.9338888888888889,0.5552238238481392,0.014990606060606072,0.02447328042328046,0.6882323232323232,0.08441166587616639,0.6743233091419711,0.04136466392631755,0.9398391520709748,0.005950263182085989,0.004212141036987305,0.005410194396972656,Isotonic,MNIST,XGBoost,10,10000,1000,9000
