,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,
GPcalib,MNIST,random_forest,10,10000,1000,9000,0.9457111111111111,0.0010749676997731542,0.30483236018780174,0.007095215437400242,0.014783181818181815,0.0021059226585023842,0.5645050505050505,0.0946095048375419,0.08341751959045648,0.009710110529913468,0.6430442057734963,0.02354403292995748,0.03671715059259356,0.005505561749801583,0.9459005105202689,0.006136844691879641,0.005544334411367897,0.0032519433205489036
GPcalib,MNIST,1layer_NN,10,10000,1000,9000,0.9516666666666668,0.0011415581486979552,0.36581013641341154,0.028872004916114344,0.023874870729792587,0.002263359816801496,0.7215353535353536,0.10465509900722289,0.038467199768085714,0.004355000676394528,0.753040580511015,0.0179058340054985,0.010451186651208672,0.00218922802387708,0.9781188401048571,0.0028573710503945215,0.026452173438190434,0.002811906341021627
GPcalib_lin,MNIST,AdaBoost,10,10000,1000,9000,0.7287111111111111,0.001779474498961805,0.7858359914670163,0.005846753843969435,0.04089797979797978,0.004582438902554561,0.3224425770308123,0.15308700222808008,0.19900482947322734,0.006035768727069375,0.5627457524708117,0.006053486913704519,0.24893390623583475,0.008000842266261557,0.6999751148000766,0.007123597865890675,0.0287359963110345,0.008047962939619475
GPcalib_lin,MNIST,XGBoost,10,10000,1000,9000,0.9330777777777778,0.0006154169296148161,0.22107560680871435,0.003730628631461478,0.018837941638608306,0.0017424802044445496,0.7745353535353535,0.035507255991387966,0.09848423542474691,0.009561531197267652,0.6437881923306865,0.01702386724006936,0.043222954201330904,0.003508897961162294,0.9358290443524009,0.0041217057238656435,0.004213567808943546,0.0024482457109791063
GPcalib_lin,MNIST,mondrian_forest,10,10000,1000,9000,0.9132444444444443,0.0008094096817569179,0.2792577713956145,0.0032786345838426083,0.021684433221099888,0.0010889215736290838,0.6857222222222222,0.17146088032175327,0.12379902918566014,0.007000915581292113,0.6293286546287249,0.013317640512509483,0.05733167622593194,0.003996998888492312,0.9154850285377594,0.004396770776623906,0.004367527898406724,0.002761708727067295
GPcalib_lin,MNIST,random_forest,10,10000,1000,9000,0.9461888888888887,0.000873398986003391,0.18775388118924918,0.00443975207653784,0.014394711560044904,0.0024729352496344614,0.5002323232323233,0.15509968474663255,0.08898415069557675,0.011765446944547356,0.6369565994749202,0.027507202379062907,0.0349140323410578,0.005555395330366442,0.9474420375380325,0.0064772381516901845,0.005835066291357583,0.003854592171249245
GPcalib_lin,MNIST,1layer_NN,10,10000,1000,9000,0.9624111111111111,0.0007482031516267744,0.1802050442324606,0.008236587194070274,0.0132822581369248,0.002021811218987502,0.8552121212121214,0.04073232097095496,0.031370667170133516,0.007821635777168339,0.7811380246644016,0.031839646374172005,0.026474136995099685,0.0034649087865832222,0.9663068161380245,0.004132755085830191,0.005277678918089885,0.002991756938996539
Platt,MNIST,AdaBoost,10,10000,1000,9000,0.6600555555555555,0.009731547555895066,1.1276200925074096,0.007459504060567294,0.2266940998877665,0.013718981409092003,0.4342424221052898,0.21735694858573656,0.10254578404350057,0.005446041956020869,0.3563895585522376,0.006513517050720517,0.5268344075368201,0.007423277567788605,0.43344263584929055,0.005984593118978361,0.22661291970626504,0.013759046418378763
Platt,MNIST,XGBoost,10,10000,1000,9000,0.9330111111111112,0.0011336600836164285,0.25227395177384765,0.0031297086034550886,0.044939089786756425,0.002140971851555,0.7125050505050504,0.038852360882001405,0.045957353373200636,0.000973237702307964,0.7428136903477748,0.008515423628872396,0.05499901520189913,0.004541653529648586,0.9314585027657387,0.004621324429131108,0.004721777081037744,0.0027280968654968883
Platt,MNIST,mondrian_forest,10,10000,1000,9000,0.9143888888888888,0.0015037675593082864,0.30105980778027364,0.004270462713815237,0.03573571717171715,0.004889209869147293,0.6756868686868687,0.16803216969793583,0.09513535336708405,0.0024437950107908998,0.6527260108601282,0.012408081524295374,0.08708332111369169,0.005528200357529232,0.8906449126953794,0.005848666353680797,0.023743976193509694,0.006773317801810388
Platt,MNIST,random_forest,10,10000,1000,9000,0.9460666666666666,0.001223007604003911,0.2024051363904218,0.012660670175320589,0.027261536475869798,0.003852244751068491,0.639909090909091,0.13238771400334723,0.056338250744758345,0.002356788539895763,0.695047555292372,0.013742144685111833,0.051226124365128065,0.0062872198110028275,0.9350913191568901,0.00640469009805039,0.011280890792416499,0.006738125000587255
Platt,MNIST,1layer_NN,10,10000,1000,9000,0.9623666666666667,0.0006949751058888606,0.2431233999446627,0.03311997958653637,0.012645903479236779,0.0031368704960764203,0.8889191919191919,0.025708247036605052,0.002550164633973134,0.0006797065635220945,0.9386053084453982,0.006669654617499113,0.0345555161610362,0.0060239982408895965,0.964433882626848,0.00597502877895744,0.005655380730496197,0.0036332261729749306
Isotonic,MNIST,AdaBoost,10,10000,1000,9000,0.6787222222222221,0.0049096780211745975,1.2253518543263189,0.07493237211104763,0.13188473961840624,0.010777162300026457,0.44759840132645357,0.258746943377897,0.1739449386417325,0.009917380759763651,0.4478304087184652,0.010522616336742277,0.40413427008260416,0.010146323393205231,0.548280181391936,0.00917434668228396,0.1304420408302862,0.01187172039691772
Isotonic,MNIST,XGBoost,10,10000,1000,9000,0.9311888888888887,0.001427776576835732,0.5414770963086696,0.12087319968182925,0.017647615039281722,0.0018111757033604672,0.5842828282828283,0.151169133140656,0.08080009920957157,0.004262056811611077,0.6797390742531677,0.010246014503960793,0.041619176718073886,0.002584317422202977,0.9392068100116953,0.0031670239538134116,0.008017921122806316,0.0030806122368508774
Isotonic,MNIST,mondrian_forest,10,10000,1000,9000,0.9118333333333333,0.0014076510510355313,0.6231141081191718,0.13227216260567567,0.02822670145903477,0.0020556426304996576,0.6892424242424242,0.12505318847081612,0.10264090607211382,0.004067092101813004,0.6588573456370683,0.010452649136187476,0.07802687595123767,0.00360180311247342,0.8987757424519106,0.003981629694976547,0.01305759088142259,0.004402944423054614
Isotonic,MNIST,random_forest,10,10000,1000,9000,0.9445,0.0009872298470564196,0.3854656200525963,0.07624383771617983,0.020695066217732885,0.004186173371006251,0.601030303030303,0.14275583697432156,0.068737909863387,0.008098518169900608,0.679035370602616,0.02330821329070674,0.04813884561091706,0.0061408820865167775,0.9367228230186655,0.006888968070033709,0.008774966673350034,0.005981962681304762
Isotonic,MNIST,1layer_NN,10,10000,1000,9000,0.9619555555555556,0.0011101230174420478,0.41326714306783685,0.06833663352341023,0.014007877665544326,0.0017008319052627073,0.6883434343434344,0.0806168957497724,0.03799960328398991,0.00713655724650493,0.7555215180300323,0.02863673253856591,0.019362401177568246,0.0030675496933512745,0.9720837978482064,0.003648743547176313,0.010128242292651001,0.004460785661793171
