,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.43633333333333335,3.106103205108685,0.2762243317367731,0.2687070497458565,0.5279978354978355,0.2593459550600169,0.6082816187254187,0.14987744940059353,0.7138048786664353,0.27747154533310203,0.023809194564819336,0.001382589340209961,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
1,0.4408888888888889,3.0892011191613906,0.2734610827047429,0.2657643049425324,0.54501443001443,0.2596888585065959,0.6100671582804695,0.1502640773886403,0.7157344534876887,0.27484556459879983,0.022906064987182617,0.0027790069580078125,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
2,0.43877777777777777,3.1027362921774038,0.27562165834591124,0.26834472002327503,0.5370816864295125,0.2594055068189667,0.6100109327044382,0.1487271382605092,0.7158713057888184,0.27709352801104076,0.022660255432128906,0.0018494129180908203,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
3,0.44,3.086497702038822,0.2742997663955068,0.26670597726260525,0.5227638453500523,0.25933227417592236,0.6097598083902186,0.14949195358340336,0.7156890331218249,0.27568903312182497,0.02257370948791504,0.0025937557220458984,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
4,0.43877777777777777,3.095420097597511,0.2756010680750098,0.2680670755129732,0.5291046831955923,0.25997579567372403,0.6100783168858235,0.14905635888731716,0.7157646685938087,0.27698689081603106,0.0226595401763916,0.002147674560546875,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
5,0.43844444444444447,3.1068303127641874,0.2750488687284175,0.267578630429735,0.5202799178222908,0.25894604911494773,0.6105157522279528,0.15150167351966026,0.7148578897834994,0.2764134453390549,0.022753000259399414,0.0018589496612548828,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
6,0.4411111111111111,3.0929647638878723,0.27357272735897986,0.26634357319857915,0.5165323971421532,0.2584980461850192,0.6098816829424523,0.14939232765362837,0.7160685916017367,0.27495748049062557,0.02252650260925293,0.0018663406372070312,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
7,0.4361111111111111,3.1239472312320893,0.2785680149940963,0.2710820745358156,0.542878787878788,0.259044077091134,0.6110141596418954,0.14831082626889266,0.715975207453024,0.27986409634191284,0.0226137638092041,0.0018773078918457031,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
8,0.44177777777777777,3.0686308514690506,0.2729563366184102,0.2654542080627872,0.5257847707847708,0.25941268572279524,0.6077112680029795,0.14688944400139337,0.7161232201219364,0.2743454423441587,0.0223846435546875,0.001932382583618164,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
9,0.43822222222222224,3.093530981870373,0.2756690515110905,0.2681955670683428,0.5331096681096681,0.25997064672181835,0.6096970562577392,0.1494073409300474,0.7152628626456691,0.2770406404234469,0.02268815040588379,0.0019865036010742188,Uncal,CIFAR-100,alexnet,100,10000,1000,9000,True
0,0.8235555555555556,0.7124185754696712,0.04991791787095441,0.024793696323593364,0.34808951584813647,0.22169416298096944,0.5700473042396464,0.07025957209128361,0.8662745745324405,0.042719018976884904,0.021982669830322266,0.001827239990234375,Uncal,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
1,0.826,0.7035792193533521,0.05063948672093387,0.02615432167788893,0.2636975013290802,0.22014976319584859,0.5723704218501587,0.07068393906589417,0.867207519733499,0.041207519733499065,0.021360397338867188,0.0019326210021972656,Uncal,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
