,cal_method,classifier,data,time_inf,time_pred
62,Isotonic,1layer_NN,MNIST,0.011140108108520508,0.007709026336669922
63,Beta,1layer_NN,MNIST,0.029638051986694336,0.01235198974609375
64,BBQ,1layer_NN,MNIST,1.554399013519287,3.062525987625122
65,Temp,1layer_NN,MNIST,0.007843017578125,0.0010797977447509766
66,GPcalib,1layer_NN,MNIST,7.581585884094238,0.8406620025634766
67,Platt,1layer_NN,MNIST,0.03698325157165527,0.01552581787109375
68,Isotonic,1layer_NN,MNIST,0.008319854736328125,0.007331132888793945
69,Beta,1layer_NN,MNIST,0.027498960494995117,0.012426137924194336
70,BBQ,1layer_NN,MNIST,1.5680789947509766,3.2608730792999268
71,Temp,1layer_NN,MNIST,0.00608515739440918,0.001071929931640625
72,GPcalib,1layer_NN,MNIST,6.602118015289307,1.0146260261535645
73,Platt,1layer_NN,MNIST,0.03619194030761719,0.015763282775878906
74,Isotonic,1layer_NN,MNIST,0.008355855941772461,0.007424116134643555
75,Beta,1layer_NN,MNIST,0.027746915817260742,0.01193690299987793
76,BBQ,1layer_NN,MNIST,1.5573210716247559,3.107100009918213
77,Temp,1layer_NN,MNIST,0.006171703338623047,0.0010728836059570312
78,GPcalib,1layer_NN,MNIST,8.66205620765686,0.9068429470062256
79,Platt,1layer_NN,MNIST,0.03597903251647949,0.015676259994506836
80,Isotonic,1layer_NN,MNIST,0.008376121520996094,0.007386922836303711
81,Beta,1layer_NN,MNIST,0.02843761444091797,0.011827230453491211
82,BBQ,1layer_NN,MNIST,1.5598969459533691,3.0729007720947266
83,Temp,1layer_NN,MNIST,0.007449150085449219,0.0010769367218017578
84,GPcalib,1layer_NN,MNIST,8.850075006484985,0.9721899032592773
85,Platt,1layer_NN,MNIST,0.04100227355957031,0.015598058700561523
86,Isotonic,1layer_NN,MNIST,0.009225845336914062,0.008287191390991211
87,Beta,1layer_NN,MNIST,0.028136253356933594,0.015292882919311523
88,BBQ,1layer_NN,MNIST,1.5952131748199463,3.0771992206573486
89,Temp,1layer_NN,MNIST,0.006431102752685547,0.0010859966278076172
90,GPcalib,1layer_NN,MNIST,8.48377013206482,0.9662280082702637
91,Platt,1layer_NN,MNIST,0.03508305549621582,0.015834808349609375
92,Isotonic,1layer_NN,MNIST,0.008322715759277344,0.007511138916015625
93,Beta,1layer_NN,MNIST,0.02736830711364746,0.01210784912109375
94,BBQ,1layer_NN,MNIST,1.5522701740264893,3.044947862625122
95,Temp,1layer_NN,MNIST,0.0061511993408203125,0.0010728836059570312
96,GPcalib,1layer_NN,MNIST,9.962174892425537,1.0088911056518555
97,Platt,1layer_NN,MNIST,0.040574073791503906,0.01570415496826172
98,Isotonic,1layer_NN,MNIST,0.00836801528930664,0.0074841976165771484
99,Beta,1layer_NN,MNIST,0.02941107749938965,0.01197957992553711
100,BBQ,1layer_NN,MNIST,1.5558688640594482,3.032153844833374
101,Temp,1layer_NN,MNIST,0.006279945373535156,0.0010907649993896484
102,GPcalib,1layer_NN,MNIST,10.140403985977173,1.130465030670166
103,Platt,1layer_NN,MNIST,0.0481719970703125,0.017468929290771484
104,Isotonic,1layer_NN,MNIST,0.009221076965332031,0.008069992065429688
105,Beta,1layer_NN,MNIST,0.030728816986083984,0.01291203498840332
106,BBQ,1layer_NN,MNIST,1.7311186790466309,3.0702362060546875
107,Temp,1layer_NN,MNIST,0.006125926971435547,0.001074075698852539
108,GPcalib,1layer_NN,MNIST,12.951397180557251,1.1995391845703125
109,Platt,1layer_NN,MNIST,0.034577131271362305,0.015807151794433594
110,Isotonic,1layer_NN,MNIST,0.008347034454345703,0.007192134857177734
111,Beta,1layer_NN,MNIST,0.028003692626953125,0.013073205947875977
112,BBQ,1layer_NN,MNIST,1.55680513381958,3.085137128829956
113,Temp,1layer_NN,MNIST,0.0060999393463134766,0.001069784164428711
114,GPcalib,1layer_NN,MNIST,9.980566024780273,1.2240238189697266
115,Platt,1layer_NN,MNIST,0.04348397254943848,0.020221948623657227
116,Isotonic,1layer_NN,MNIST,0.012555837631225586,0.007241010665893555
117,Beta,1layer_NN,MNIST,0.037059783935546875,0.012880802154541016
118,BBQ,1layer_NN,MNIST,1.7840139865875244,3.048247814178467
119,Temp,1layer_NN,MNIST,0.006107807159423828,0.0010769367218017578
