,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
9,0.7419,1.0542373837296206,0.03733490938745888,0.21044191919191918,0.26539328269478185,0.5160536077173334,0.14550949632895416,0.7671399408253926,0.025239940825392673,GPcalib,ImageNet,densenet121,1000,50000,1000,10000
0,0.7714,0.9270361342982636,0.03785756903619988,0.2574040404040404,0.2439106733939791,0.5395318646146733,0.12410917499766876,0.7989991666577128,0.027599166657712657,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
1,0.7664,0.9457123931193598,0.04139428771493803,0.20885858585858585,0.2412122376155374,0.5433367059437286,0.12247356957877366,0.7994597107832829,0.03305971078328289,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
2,0.767,0.9215258179106859,0.03013857575757575,0.5807474747474747,0.24812484241226362,0.5073976411482433,0.16149568679605245,0.7613564586149684,0.005643541385031564,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
3,0.7751,0.8855312273384381,0.0317337749890607,0.2673939393939394,0.25599988239886107,0.49263642826443044,0.16421235821949315,0.7586129338607412,0.016487066139258738,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
4,0.7643,0.9527563265791751,0.042733883271813045,0.44405050505050503,0.2356606988893603,0.5533120669040761,0.12616129631991446,0.7982905753919801,0.033990575391980124,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
5,0.77,0.9010660091769193,0.0314697535443992,0.16664141414141415,0.24836032750600523,0.4984595182989989,0.16251503546625662,0.7595091118997521,0.010490888100247842,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
6,0.7721,0.8949263344162198,0.03586086501020436,0.28908080808080805,0.24889322613247902,0.4864466518442279,0.17200156857275664,0.7501587808602741,0.02194121913972588,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
7,0.772,0.892411886668881,0.036207957575757586,0.2673939393939394,0.24793910947798803,0.482462257853906,0.17507767571269725,0.7468414291404883,0.025158570859511717,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
8,0.767,0.9320929111913643,0.04793801283390577,0.3126825396825397,0.23928974691910784,0.5505818908835274,0.12531890381708405,0.7991659813481585,0.0321659813481584,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
9,0.7733,0.9008527718774548,0.03181689696969699,0.31408080808080807,0.25456348849860755,0.4838331633846406,0.17139273277101158,0.7504469778874748,0.022853022112525212,GPcalib,ImageNet,densenet201,1000,50000,1000,10000
