n_samples_queried	n_samples	error	log-loss	$\text{ECE}_1$	MCE	sharpness	overconfidence	underconfidence	$\frac{o(f)}{u(f)}$	$\frac{\text{accuracy}}{\text{error}}$	$\abs{o(f) \mathbb{P}(\hat{y} \neq y) -u(f) \mathbb{P}(\hat{y} = y)}$	$avg. confidence	calibration_method	cv_run
1753	4750	0.098019801980198	1.383456470607901	0.06991985309642072	0.38409090909090904	0.12578284431298054	0.6255811947615246	0.1406226394661946	4.448652060125163	9.202020202020204	0.06551949135872512	0.8364607066610769		0
1816	5000	0.09581958195819584	1.3818721774996146	0.07051075663121863	0.6428282828282827	0.1261223910838612	0.6247560882552462	0.13935968748873054	4.483047425789956	9.436280137772673	0.06614243328928016	0.838037984752524		0
1878	5250	0.09581958195819584	1.3389219827591	0.07083939505061612	0.6952525252525252	0.12697503185743098	0.6245003374551363	0.13976233219330875	4.468302207431502	9.436280137772673	0.06653100268134002	0.8376494153604641		0
1954	5500	0.0952695269526953	1.3421502413163486	0.07230508606416193	0.7302020202020202	0.12441111635492376	0.6274247826586805	0.14158638167919946	4.431392166516929	9.49653579676674	0.0683230518313882	0.8364074212159165		0
2020	5750	0.09394939493949395	1.3405576640985608	0.07380521385471875	0.7302020202020202	0.12385169205893214	0.6266355269490012	0.14195970953972667	4.414178705921066	9.644028103044496	0.06975065211823343	0.8362999529422726		0
2114	6000	0.09515951595159511	1.3496923881184901	0.07204161527263833	0.7302020202020202	0.12446727541091174	0.626399546144318	0.140323328161614	4.4639729854673735	9.50867052023122	0.06736235057364581	0.8374781334747591		0
2197	6250	0.09636963696369638	1.3484255397043565	0.0714073685146292	0.34843434343434343	0.12331120076319926	0.6200488439380235	0.13844026320694303	4.478818730726936	9.376712328767121	0.06534494331046439	0.8382854197258393		0
2258	6500	0.09537953795379539	1.347601434862544	0.07081126445977926	0.3571717171717172	0.1219532785744007	0.6227979955306266	0.13812967852017635	4.508792043844912	9.484429065743944	0.06555274855295454	0.83906771349325		0
2343	6750	0.09570957095709576	1.3495457236965518	0.07221996644108851	0.3571717171717172	0.12139270206625098	0.6226679882043954	0.13958736121346874	4.460776267932733	9.44827586206896	0.06663222876093385	0.8376582002819702		0
2412	7000	0.0962596259625963	1.35052848446893	0.0724759698192041	0.3571717171717172	0.12206153185665869	0.6197923877664778	0.13984635811436735	4.431952294814908	9.388571428571424	0.06672381656918147	0.8370165574682223		0
2487	7250	0.0961496149614961	1.3519475102600897	0.07651335689124462	0.634090909090909	0.12296371894712763	0.6198580107170989	0.14036462957897552	4.416055615836884	9.400457665903895	0.06726951542949602	0.8365808696090078		0
2567	7500	0.09680968096809683	1.3512889473737155	0.07301726839350596	0.34843434343434343	0.12306925011530107	0.6208356549616831	0.13977730929740761	4.441605422813769	9.329545454545451	0.0661426108872866	0.8370477081446166		0
2635	7750	0.097029702970297	1.3515694681982193	0.0724559455945594	0.3396969696969697	0.12392177411322092	0.6183399733603341	0.1392209295028469	4.441429715836581	9.306122448979595	0.06571502011612243	0.8372552769135806		0
2701	8000	0.09713971397139709	1.3527965001260476	0.07494806702892506	0.39212121212121215	0.12269760390349291	0.6184702062146169	0.14157914046072365	4.368370963420213	9.294450736126846	0.06774816432053384	0.835112121708069		0
2776	8250	0.09603960396039601	1.35503563231652	0.07486938138258264	0.39212121212121215	0.12216448845496389	0.6210105798449321	0.14216140066476798	4.368348770770362	9.41237113402062	0.06886666590294532	0.8350937301366588		0
2857	8500	0.09603960396039601	1.3582632512621036	0.0766486148614861	0.3269696969696969	0.12196563661555448	0.6207753832060009	0.142442288492461	4.358083472092324	9.41237113402062	0.06914316556696518	0.8348172304726389		0
2924	8750	0.0952695269526953	1.3571749330048613	0.07658793657143485	0.3269696969696969	0.12192534274420865	0.6208389310127918	0.14275747413631495	4.34890666684093	9.49653579676674	0.07001000583498089	0.8347204672123238		0
2989	9000	0.09537953795379539	1.3567207956342129	0.07621093776044266	0.6777777777777778	0.1215728289446113	0.6207003752082074	0.14318442508817036	4.334971312878419	9.484429065743944	0.07032544578597459	0.8342950162602301		0
3071	9250	0.09647964796479647	1.3568651010235473	0.07752310786634213	0.3928282828282828	0.12145903664863336	0.6182437189883315	0.14460396303058998	4.2754272153491835	9.364880273660207	0.07100468721864343	0.8325156648165601		0
3151	9500	0.09691969196919692	1.3595497111299497	0.07766547210276578	0.6952525252525252	0.12090193183956777	0.6185448877134226	0.1445186276809643	4.280035713312382	9.317820658342793	0.07056274681600777	0.8325175612147953		0
3222	9750	0.09680968096809683	1.3606160354441688	0.0772947516973919	0.32222222222222224	0.1199588362591657	0.6183255285945034	0.14520943065625908	4.2581637142990285	9.329545454545451	0.07129185484320394	0.8318984641886992		0
3302	10000	0.0961496149614961	1.3520141980651081	0.07726548765987705	0.37464646464646467	0.11994255503835825	0.6197372012489453	0.14415830227769375	4.2990045766156335	9.400457665903895	0.07071004374278922	0.8331403412957147		0
