,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.96725,0.11916511781957612,0.04317023989898991,0.05350773809523811,0.45540404040404037,0.14659829096016314,0.7288864616674321,0.06459587981116097,0.928640666872263,0.03860933312773708,0.02924546544195513,Uncal,KITTI,XGBoost,2,9090,1000,8000
1,0.96825,0.11580627547639799,0.04417412878787879,0.05410684523809522,0.5346969696969697,0.14665496501280384,0.7197659250319474,0.06405559630009852,0.929080737002194,0.03916926299780611,0.02814946761401813,Uncal,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.11768683784036489,0.042938017676767685,0.05285148809523807,0.45540404040404037,0.14524443349185448,0.7272465942449091,0.06407516631117903,0.9291688756868243,0.038456124313175646,0.028807907406286512,Uncal,KITTI,XGBoost,2,9090,1000,8000
3,0.967875,0.1161316367568087,0.04373941919191921,0.05434494047619047,0.505,0.14477775242985783,0.7199752845652836,0.06406678028628914,0.9289955710470676,0.03887942895293239,0.028222519312864947,Uncal,KITTI,XGBoost,2,9090,1000,8000
4,0.966,0.12042339700451252,0.042905972222222234,0.05284583333333332,0.45540404040404037,0.14765246851458144,0.7252719741972053,0.06462613102164327,0.9282304045557975,0.0377695954442024,0.029696494745001155,Uncal,KITTI,XGBoost,2,9090,1000,8000
5,0.967125,0.11757568420215575,0.044394204545454556,0.054463690476190464,0.45540404040404037,0.14804663591275793,0.7198364444558611,0.06448563522372394,0.9284239531457424,0.03870104685425759,0.028829134764832492,Uncal,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.11818542214651832,0.043179608585858606,0.05352648809523808,0.45540404040404037,0.1458602737611531,0.7279137527160202,0.06421801306575849,0.9290522528514266,0.038572747148573366,0.028906125776596552,Uncal,KITTI,XGBoost,2,9090,1000,8000
7,0.967375,0.11912891632445721,0.043850075757575775,0.05418422619047615,0.45540404040404037,0.14910688083239548,0.7250190203673995,0.06516915820091328,0.9279857311248779,0.03938926887512206,0.029186561057654443,Uncal,KITTI,XGBoost,2,9090,1000,8000
8,0.967,0.11794740144951305,0.04203665404040407,0.052588988095238064,0.49005050505050507,0.14364533060473306,0.7263937852147854,0.06373989682224691,0.9293345146849752,0.037665485315024824,0.028912311466042957,Uncal,KITTI,XGBoost,2,9090,1000,8000
9,0.967875,0.11823759236892495,0.043642159090909106,0.05367738095238097,0.4603535353535353,0.1468784858294581,0.7294474942211048,0.06439887394234452,0.9289784406349063,0.038896559365093744,0.02896482120404464,Uncal,KITTI,XGBoost,2,9090,1000,8000
0,0.954,0.17618880140917478,0.05534939393939395,0.06713355225449222,0.3099494949494949,0.2283825400801351,0.6868156841639069,0.08406621169570327,0.9053943555138388,0.04860564448616118,0.04040939539517993,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95375,0.17433523954772523,0.05457534090909093,0.06639847483066595,0.40994949494949495,0.23016952322680514,0.6838003673412901,0.08431535471305426,0.9049599974319592,0.04879000256804082,0.04041793306433159,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
2,0.95375,0.1710130886838937,0.0551809595959596,0.0665176309219108,0.3561033411033411,0.2298089568567288,0.6866985713792138,0.0846288078676589,0.9047950834225089,0.04895491657749103,0.04069485838957545,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
3,0.95375,0.17765795676381033,0.05438314393939396,0.06592016673417701,0.33924242424242423,0.23238496632258063,0.6872841595601197,0.08487915270753021,0.9045834004848486,0.04916659951515139,0.04095035708823822,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
4,0.953,0.17512831016029012,0.054025542929292944,0.06612642216937993,0.3281313131313131,0.23056405507541444,0.6853820227567387,0.08432254022347142,0.9048535742365984,0.048146425763401515,0.040887204609651534,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
5,0.9535,0.17138573746638272,0.05435920454545455,0.06539373561807886,0.40994949494949495,0.23033766967309768,0.6830441200911562,0.08356504065507302,0.9055822853196266,0.04791771468037337,0.04033211283705335,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
6,0.953125,0.17439226469709102,0.0544906691919192,0.06606894099663907,0.3561033411033411,0.2296767672140801,0.6882009758943701,0.08435996834399966,0.9049788259171739,0.048146174082826065,0.041025868598450546,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
7,0.953875,0.17757254728238028,0.05419695707070708,0.06538422816084186,0.3988383838383838,0.23046481988844375,0.6883013052540373,0.08445864740710822,0.9050599054093871,0.0488150945906129,0.040786667699935664,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
8,0.9535,0.1773526899689208,0.05568453282828285,0.06688844532551634,0.419040404040404,0.23054855045202496,0.684719092105306,0.084710545368907,0.9045679327736439,0.04893206722635611,0.04069363822924906,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
9,0.953625,0.17759075100497818,0.05411887626262626,0.06633869124265725,0.419040404040404,0.22928754319557101,0.687391689696229,0.08436392668613135,0.9050512400236006,0.048573759976399344,0.04072452636166427,Uncal,KITTI,mondrian_forest,2,9031,1000,8000
0,0.964,0.16080350195978935,0.07640881313131315,0.08382976190476189,0.9752020202020202,0.2162095626290213,0.6787258655626636,0.10123727252532264,0.8908414004458449,0.0731585995541551,0.038295270704241956,Uncal,KITTI,random_forest,2,9090,1000,8000
1,0.963,0.16192465506050002,0.07687512626262627,0.08404077380952381,0.9752020202020202,0.22019504822736466,0.6714284803334604,0.10211605639590939,0.8895050914630774,0.07349490853692268,0.038655302597655,Uncal,KITTI,random_forest,2,9090,1000,8000
2,0.96375,0.15946940815760713,0.07600472222222224,0.08388541666666666,0.9752020202020202,0.21776593987396015,0.6683649182349061,0.10113619814130294,0.8905082173273347,0.07324178267266535,0.03780357699058611,Uncal,KITTI,random_forest,2,9090,1000,8000
3,0.965,0.15777876694745044,0.07688916666666666,0.08451249999999998,0.9752020202020202,0.2160138931125734,0.6686982808447626,0.100749546215914,0.8911811277312097,0.0738188722687903,0.037149607331980576,Uncal,KITTI,random_forest,2,9090,1000,8000
4,0.96425,0.16023631944817482,0.07784308080808082,0.08474523809523807,0.9752020202020202,0.21809585748871582,0.6724924132122527,0.10186555003825443,0.8900677471479512,0.07418225285204882,0.03804759498096097,Uncal,KITTI,random_forest,2,9090,1000,8000
5,0.963625,0.16023744152157163,0.07651534090909094,0.0834625,0.9752020202020202,0.21623908434963238,0.6735152666208793,0.10097484718864234,0.890822230701179,0.07280276929882096,0.0380562743597411,Uncal,KITTI,random_forest,2,9090,1000,8000
6,0.9645,0.15948839137315532,0.07737414141414142,0.08477857142857141,0.9752020202020202,0.217911117007355,0.6698374302067053,0.10153465935396244,0.8903490498254413,0.07415095017455875,0.037699530801217705,Uncal,KITTI,random_forest,2,9090,1000,8000
7,0.96275,0.16092085985711396,0.07594290404040405,0.08233988095238096,0.9752020202020202,0.21533827158709978,0.6753495506904653,0.1005785301619521,0.8910747908498005,0.07167520915019956,0.03838520235880134,Uncal,KITTI,random_forest,2,9090,1000,8000
