,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
5,0.8273333333333334,0.6269536660455541,0.02456903239467577,0.020418536705136096,0.18873737373737376,0.19198681192371103,0.5433710752177647,0.11084833887544716,0.8294468799579806,0.002113546624647397,0.3397178649902344,16.86324143409729,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
6,0.8258888888888889,0.6289149909936929,0.02769464583332433,0.021301131088716327,0.17566547831253715,0.19529187332982045,0.5328296588367396,0.11700967318844166,0.8220234638430537,0.0038654250458351053,0.3393731117248535,12.589273929595947,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
7,0.8267777777777777,0.626629953308528,0.02143168448383647,0.015217970696224907,0.18696969696969695,0.2025432409276902,0.5368520143367073,0.10965632438695226,0.829111064509735,0.002333286731957235,0.34165167808532715,37.347546100616455,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
8,0.8275555555555556,0.6241844023800883,0.027466676806726563,0.02321797742678318,0.19960466736328802,0.1888088195154888,0.5408477112474456,0.11480216715426149,0.8258165674323439,0.0017389881232115906,0.3328869342803955,31.32189440727234,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
9,0.8261111111111111,0.6284525325668187,0.021755001293818545,0.017369140097837917,0.22924242424242425,0.19457052787992188,0.5473802451160924,0.1046369805099044,0.8348526815017273,0.00874157039061614,0.3367884159088135,11.815236568450928,GPcalib_approx,CIFAR-100,resnext-8x64d,100,10000,1000,9000,True
0,0.8266666666666667,0.6245649538739577,0.028276763490783566,0.026407490491562356,0.2465151515151515,0.17453244129626785,0.5707096369711641,0.10033917920912053,0.8426426155954622,0.015975948928795475,0.32968568801879883,20.11866068840027,GPcalib_approx,CIFAR-100,resnext-16x64d,100,10000,1000,9000,True
1,0.8262222222222222,0.6276165127238006,0.028379168589303092,0.023689549094785028,0.25257575757575756,0.18153335405686852,0.5689915923640859,0.09627331049414842,0.845557168180327,0.01933494595810477,0.33224987983703613,36.42385911941528,GPcalib_approx,CIFAR-100,resnext-16x64d,100,10000,1000,9000,True
2,0.8287777777777777,0.6118772814640506,0.02729249419637338,0.01985620184266252,0.17543842682140554,0.1961477941037778,0.5376193319915629,0.10901087824068104,0.8304843610890843,0.0017065833113065337,0.331345796585083,9.459805488586426,GPcalib_approx,CIFAR-100,resnext-16x64d,100,10000,1000,9000,True
3,0.8268888888888889,0.6129204937086955,0.026664578534826344,0.022481468057817727,0.26095959595959595,0.19438748637213482,0.5372618755309165,0.11128573748202646,0.8278739493039918,0.0009850604151030035,0.34027862548828125,11.733492612838745,GPcalib_approx,CIFAR-100,resnext-16x64d,100,10000,1000,9000,True
4,0.8265555555555556,0.6178888364370612,0.027282740556271876,0.02336799322187899,0.2459090909090909,0.19037971902359435,0.5433092885613452,0.11121139195016623,0.8288671394141082,0.0023115838585525544,0.33020949363708496,28.14958882331848,GPcalib_approx,CIFAR-100,resnext-16x64d,100,10000,1000,9000,True
5,0.8252222222222222,0.6258934147706973,0.02632699826496691,0.02141706048552686,0.22873737373737368,0.19093859849881462,0.554849311704118,0.10085491969347529,0.838969830971904,0.013747608749681867,0.33133530616760254,14.945171117782593,GPcalib_approx,CIFAR-100,resnext-16x64d,100,10000,1000,9000,True
