,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.7303333333333333,2.1533075295026185,0.6112451627384962,0.5957962962962964,0.7691414141414141,0.0008935938725258746,0.11765935031640602,0.8815639756059516,0.11822658128444409,0.6121067520488891,9.5367431640625e-07,0.0003161430358886719,Uncal,MNIST,AdaBoost,10,10000,1000,9000
1,0.7305555555555555,2.1532895430195067,0.6114913580246912,0.5959986772486773,0.7691414141414141,0.0008894636710444862,0.11753749885514841,0.8815493769436342,0.1182045868132601,0.6123509687422956,1.1920928955078125e-06,0.00013589859008789062,Uncal,MNIST,AdaBoost,10,10000,1000,9000
2,0.7306666666666667,2.1532906533639906,0.6115924803591469,0.5960965608465608,0.7691414141414141,0.0008925660637323363,0.11767529555902656,0.8815827941684656,0.11821738466480565,0.6124492820018611,4.76837158203125e-07,0.00011682510375976562,Uncal,MNIST,AdaBoost,10,10000,1000,9000
3,0.732,2.153601108227038,0.6129328058361391,0.5974761904761905,0.7691414141414141,0.0008918080438287492,0.11783483274597585,0.8816701091483732,0.1181972152793123,0.6138027847206876,4.76837158203125e-07,0.0001285076141357422,Uncal,MNIST,AdaBoost,10,10000,1000,9000
4,0.7327777777777778,2.153483811710678,0.6137465432098765,0.5982407407407409,0.7691414141414141,0.0008759723150172034,0.11766072172014545,0.8816413978903035,0.11817211296115529,0.6146056648166224,4.76837158203125e-07,0.00012230873107910156,Uncal,MNIST,AdaBoost,10,10000,1000,9000
5,0.7311111111111112,2.1536867532235404,0.6120668911335577,0.5965740740740741,0.7691414141414141,0.0008914229442356719,0.1176949240228154,0.8816439739107368,0.11817826308917398,0.6129328480219373,4.76837158203125e-07,0.00012159347534179688,Uncal,MNIST,AdaBoost,10,10000,1000,9000
6,0.7296666666666667,2.1541516351792613,0.6106723905723905,0.595123015873016,0.7691414141414141,0.0008884592715255961,0.11749240892403694,0.8816557328296857,0.11811398149107075,0.611552685175596,4.76837158203125e-07,0.00011801719665527344,Uncal,MNIST,AdaBoost,10,10000,1000,9000
7,0.7311111111111112,2.1532089764548594,0.6120049607182941,0.5965806878306879,0.7691414141414141,0.0008930225184346515,0.11766432355153805,0.8815680116007547,0.11822557185130624,0.6128855392598049,4.76837158203125e-07,0.00011301040649414062,Uncal,MNIST,AdaBoost,10,10000,1000,9000
8,0.7316666666666667,2.1534598046043536,0.6125914814814815,0.5971164021164023,0.7691414141414141,0.0008900763630173491,0.11783452861152427,0.8816393589339938,0.11821946755738698,0.6134471991092798,4.76837158203125e-07,0.00011420249938964844,Uncal,MNIST,AdaBoost,10,10000,1000,9000
9,0.7312222222222222,2.153621833846417,0.6121790011223345,0.596691798941799,0.7691414141414141,0.0008823110506513056,0.1176779209677079,0.8816607809724946,0.11816147680454439,0.613060745417678,4.76837158203125e-07,0.00013494491577148438,Uncal,MNIST,AdaBoost,10,10000,1000,9000
0,0.9337777777777778,0.2594530641872578,0.07513824915824914,0.07844550264550265,0.8320707070707071,0.14734432191369548,0.5177727086382025,0.11432727770627198,0.8613095658338732,0.07246821194390457,9.5367431640625e-07,0.00018167495727539062,Uncal,MNIST,XGBoost,10,10000,1000,9000
1,0.9335555555555556,0.2590057103730622,0.07398315375982038,0.07774708994708997,0.8320707070707071,0.14644080753131608,0.5171360836230393,0.11368269181924047,0.8617872668157022,0.07176828873985344,9.5367431640625e-07,0.00013828277587890625,Uncal,MNIST,XGBoost,10,10000,1000,9000
2,0.9331111111111111,0.2602489868148352,0.07452840628507292,0.07816904761904762,0.8320707070707071,0.1468736586744243,0.5225781975097434,0.11475309741641829,0.8609883958664205,0.07212271524469058,4.76837158203125e-07,0.00012111663818359375,Uncal,MNIST,XGBoost,10,10000,1000,9000
3,0.9338888888888889,0.2570708936787015,0.07414019079685742,0.07748518518518518,0.8320707070707071,0.14558333505597154,0.52105359179633,0.11351145663338003,0.862329232679473,0.07155965620941585,7.152557373046875e-07,0.00011420249938964844,Uncal,MNIST,XGBoost,10,10000,1000,9000
4,0.9327777777777778,0.262076591478037,0.07322108866442195,0.07711137566137566,0.8320707070707071,0.14723833591980223,0.5192658615260085,0.11373738440961764,0.8615922782338328,0.07118549954394501,4.76837158203125e-07,0.00012612342834472656,Uncal,MNIST,XGBoost,10,10000,1000,9000
5,0.9327777777777778,0.25942362929036694,0.07392409652076314,0.07757116402116401,0.8320707070707071,0.14727241699817975,0.5179080029903365,0.11407426287902118,0.8611867672155301,0.07159101056224773,4.76837158203125e-07,0.00011730194091796875,Uncal,MNIST,XGBoost,10,10000,1000,9000
6,0.9332222222222222,0.2601560531311197,0.07388134680134677,0.07773439153439153,0.8320707070707071,0.14702330465290595,0.5175794138140766,0.11389534338086343,0.8614953598495987,0.07172686237262352,7.152557373046875e-07,0.00011777877807617188,Uncal,MNIST,XGBoost,10,10000,1000,9000
7,0.9324444444444444,0.2603460826005629,0.0734508978675645,0.07636481481481483,0.8320707070707071,0.1466461435858758,0.5192826717944914,0.1130951375117236,0.8620699411614073,0.07037450328303706,4.76837158203125e-07,0.00011444091796875,Uncal,MNIST,XGBoost,10,10000,1000,9000
8,0.9343333333333333,0.25821882304130184,0.07367662177328842,0.0773574074074074,0.8320707070707071,0.14488809052130075,0.5205548441702541,0.11299509402970977,0.8629413519120879,0.07139198142124548,4.76837158203125e-07,0.00011229515075683594,Uncal,MNIST,XGBoost,10,10000,1000,9000
