,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.9455,0.14805017238545304,0.017700833333333353,0.02541309523809526,0.5346969696969697,0.14264330161099448,0.7725900187120402,0.03914652311770152,0.9505931184120194,0.005093118412019405,0.04106744393775443,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
1,0.946125,0.14601336233689344,0.01928458333333335,0.02724880952380952,0.36388888888888893,0.16524753721285304,0.7510883689275463,0.04646453782932024,0.9426286250222059,0.0034963749777940506,0.040672926498204594,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
2,0.947,0.1459180500813995,0.01732088383838385,0.023483630952380912,0.3698366013071895,0.1468295972325695,0.7709622631368946,0.04137380210624039,0.9486800093516459,0.001680009351645799,0.04053144405346522,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
3,0.9455,0.1450207615935094,0.022394368686868702,0.02710803571428568,0.34904040404040404,0.1635180356885998,0.7446290541425858,0.04959160840879444,0.9391934177002559,0.006306582299744221,0.04058060709840109,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
4,0.947125,0.1438038582169266,0.02071271464646465,0.029093750000000026,0.4306565656565656,0.1582452457615155,0.7500127216309008,0.047604654348643846,0.9416943644062746,0.005430635593725419,0.039727484023568266,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
5,0.946125,0.1426989001983996,0.020665896464646484,0.027825892857142834,0.42378787878787877,0.1600643085771683,0.7467526616863502,0.04559435720641353,0.9432183384364341,0.0029066615635658724,0.039814525170285824,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
6,0.945875,0.14566375224293823,0.01894598484848483,0.024443154761904774,0.36388888888888893,0.14612163177998141,0.7669687569619417,0.04141096862273641,0.9482175840245343,0.002342584024534272,0.0407122469563869,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
7,0.94675,0.1442853083233461,0.02005036616161617,0.02773482142857145,0.32671717171717174,0.15887892637289203,0.752199395873274,0.046539999034634585,0.9427428737442115,0.004007126255788439,0.04006630582426845,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
8,0.946,0.14390778128078402,0.021192108585858595,0.027855059523809487,0.47665945165945167,0.1562644607899132,0.7508535032046244,0.04593826609031779,0.9430884894516091,0.0029115105483908735,0.04009640636226869,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
9,0.94675,0.145094266072548,0.019072866161616183,0.025097916666666657,0.4389393939393939,0.15065914898815871,0.762624039272522,0.04361668924060711,0.946065629552717,0.0006843704472829712,0.0402933962852268,GPcalib,KITTI,AdaBoost,2,9090,1000,8000
0,0.967375,0.10072569081912269,0.016125808080808053,0.025936011904761917,0.6732828282828283,0.08321050002630513,0.8099927704473833,0.028292726073919944,0.9664313382500875,0.0009436617499124153,0.026553889492984404,GPcalib,KITTI,XGBoost,2,9090,1000,8000
1,0.96825,0.09863689210321891,0.022362159090909117,0.03156547619047619,0.5544949494949495,0.0952588326208743,0.7802339875764783,0.036660144507618106,0.9575262441860519,0.010723755813948087,0.02555181097322405,GPcalib,KITTI,XGBoost,2,9090,1000,8000
2,0.96775,0.09943974171416126,0.01656684343434346,0.02659494047619044,0.5643939393939394,0.08186161045025107,0.8084907851403713,0.029744200995915876,0.9650388773069795,0.002711122693020613,0.02623564685081945,GPcalib,KITTI,XGBoost,2,9090,1000,8000
3,0.968125,0.09785964449672181,0.018737234848484857,0.02917529761904765,0.5693434343434344,0.08587997317694286,0.7929802649319986,0.033432142804344596,0.9610347526922514,0.007090247307748671,0.025562609773437408,GPcalib,KITTI,XGBoost,2,9090,1000,8000
4,0.965875,0.10300374001333268,0.01792843434343432,0.0232541666666667,0.5841919191919192,0.07374064529640575,0.8198142150361467,0.0227342838426376,0.9718926836816009,0.006017683681600883,0.02722555563907354,GPcalib,KITTI,XGBoost,2,9090,1000,8000
5,0.967125,0.09936079941447042,0.018616250000000008,0.028737500000000027,0.5594444444444444,0.08406241411808346,0.7967472923657649,0.03195338407176298,0.9624151506661208,0.00470984933387926,0.02617699951726936,GPcalib,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.09968587107308537,0.017311654040404047,0.02549880952380952,0.6287373737373737,0.0862674323910846,0.8034115885519798,0.02952453709211946,0.9650667699756083,0.0025582300243917125,0.026257271478804994,GPcalib,KITTI,XGBoost,2,9090,1000,8000
