,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
6,0.967625,0.09968471120884939,0.018224583333333332,0.48510101010101014,0.08610967875681785,0.8035537686376178,0.02951938375185907,0.9650763595567503,0.002548640443249723,0.02625594937153097,GPcalib,KITTI,XGBoost,2,9090,1000,8000
7,0.967625,0.1007705875708747,0.018740618686868712,0.5594444444444444,0.09323841778753215,0.7956833462600712,0.03326534875700006,0.9611968652441776,0.006428134755822341,0.026477852623799914,GPcalib,KITTI,XGBoost,2,9090,1000,8000
8,0.967125,0.1000058356426552,0.016846073232323226,0.6584343434343434,0.06908971972232462,0.8229967489579405,0.025571042673012065,0.9694506234768554,0.0023256234768554915,0.026487868369147394,GPcalib,KITTI,XGBoost,2,9090,1000,8000
9,0.967875,0.09991085308554298,0.01843218434343436,0.6138888888888889,0.08905356599222299,0.8016072708049371,0.030746093750081967,0.963868258086248,0.004006741913752013,0.026248922066468814,GPcalib,KITTI,XGBoost,2,9090,1000,8000
0,0.953875,0.1515038418544875,0.020974228896660667,0.40762626262626267,0.12485945261382128,0.7699751386509672,0.04098011001803742,0.9503002008268204,0.003574799173179599,0.035178016902296404,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
1,0.954,0.14976283403108492,0.023071280388138764,0.6237878787878788,0.12073904871597665,0.7730786363637804,0.04212852417639075,0.9493710052084571,0.0046289947915428425,0.035231776930000305,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
2,0.9535,0.14634475274030367,0.021498956176094004,0.47025252525252526,0.1271324513493637,0.7683724274860415,0.041425882424536334,0.9497297389863055,0.003770261013694473,0.035430519885645904,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
3,0.9535,0.15280721962390373,0.018657557890411645,0.6188383838383839,0.1292404633141365,0.7709693553472851,0.0398944630690559,0.9513107044873039,0.002189295512696053,0.035647316810834044,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
4,0.9525,0.15040602120877572,0.021140464668139233,0.36388888888888893,0.12394403219985471,0.7724424523751057,0.03759222288859959,0.9533844241864263,0.0008844241864263969,0.035800578583805434,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
5,0.95375,0.14720335128928302,0.021223014045299686,0.6287373737373737,0.10850078632170879,0.7865304781593749,0.037844534789284845,0.9540328095595908,0.00028280955959068127,0.035397503309440706,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
6,0.953375,0.15003828469407465,0.017812222437603643,0.4485353535353535,0.12121287263569935,0.7815881359136808,0.036085768360442694,0.9554132774263383,0.0020382774263383377,0.035820927067975156,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
7,0.953875,0.1528628767437826,0.019041846392934988,0.6287373737373737,0.12986120836077042,0.7716022453931692,0.039774720942135175,0.9515250416300808,0.002349958369919282,0.03552043970834311,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
8,0.9535,0.15240190030877643,0.02079932517196443,0.6188383838383839,0.12684537814621882,0.7676010661944824,0.04199783733152936,0.9491485116824301,0.004351488317569825,0.03539961817482073,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
9,0.953875,0.15253267120698336,0.017821649117558916,0.45712121212121215,0.12457303602447774,0.7758824979514466,0.03809693075315395,0.9533228703958457,0.0005521296041542736,0.03541375638878988,GPcalib,KITTI,mondrian_forest,2,9031,1000,8000
0,0.96375,0.11504050996127321,0.015062651515151532,0.7623737373737374,0.10203292278284155,0.8017059559657779,0.028436675862307373,0.9654059945414607,0.001655994541460721,0.029446687562902703,GPcalib,KITTI,random_forest,2,9090,1000,8000
1,0.9625,0.1151265031892551,0.017341616161616148,0.6237878787878788,0.1044558195906998,0.7900262272514563,0.03252476559319285,0.9608208966384814,0.0016791033615185282,0.029814641847399962,GPcalib,KITTI,random_forest,2,9090,1000,8000
2,0.963875,0.11269963517237296,0.018918333333333343,0.5643939393939394,0.10924051825372456,0.7812908120135562,0.035981371541481864,0.9574175860894439,0.0064574139105561465,0.02896320209173829,GPcalib,KITTI,random_forest,2,9090,1000,8000
3,0.964875,0.11149611184283753,0.022092083333333325,0.6336868686868686,0.1131361661715219,0.7712469785082448,0.039411606844067464,0.9539377759664326,0.01093722403356753,0.02824695523254466,GPcalib,KITTI,random_forest,2,9090,1000,8000
4,0.964,0.11331995396615384,0.018290328282828276,0.6534848484848484,0.11407589201977583,0.7788699593301689,0.03694550763446562,0.9564238491762612,0.007576150823738751,0.029106370025714975,GPcalib,KITTI,random_forest,2,9090,1000,8000
5,0.963625,0.11360021802618178,0.014871755050505024,0.7673232323232323,0.09940368879486931,0.7996964269915378,0.028515366757624023,0.9652358372400017,0.0016108372400017758,0.029223416034398635,GPcalib,KITTI,random_forest,2,9090,1000,8000
6,0.964,0.11378316816025544,0.02277082070707073,0.5594444444444444,0.12799596020822268,0.7564097933972695,0.04159757831001269,0.9511306870714495,0.012869312928550505,0.028848462415286796,GPcalib,KITTI,random_forest,2,9090,1000,8000
7,0.962625,0.11714638098382418,0.015863068181818207,0.7821717171717172,0.08371671825500776,0.821160051283525,0.02390760306010436,0.9703018005209888,0.007676800520988826,0.03012033773981525,GPcalib,KITTI,random_forest,2,9090,1000,8000
8,0.964125,0.11292298018561918,0.0221264898989899,0.48510101010101014,0.11846509150958638,0.7709958164158578,0.03782855913638618,0.9553130153365506,0.008811984663449433,0.02884401913697089,GPcalib,KITTI,random_forest,2,9090,1000,8000
9,0.963625,0.11455839957798719,0.014623926767676758,0.6584343434343434,0.1146506684248344,0.7853383989703262,0.03213651349398742,0.961224136446902,0.0024008635530979733,0.02942670718758478,GPcalib,KITTI,random_forest,2,9090,1000,8000
0,0.962125,0.1211175071695192,0.014174712590148287,0.36136363636363633,0.11312593591609044,0.7991271212448241,0.03256543501148152,0.9610599205567261,0.0010650794432739523,0.03124469641972522,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
1,0.961875,0.12389255819781571,0.016035196695871234,0.45540404040404037,0.11667356686390166,0.7982325964771875,0.033326937723779905,0.960251269517632,0.001623730482368052,0.03161138347309822,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
2,0.962125,0.12240760756029573,0.014774379845791991,0.45540404040404037,0.11582609844357457,0.7939213249032065,0.0330290768437694,0.9604166696223974,0.0017083303776026966,0.031069606666529654,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
3,0.962,0.1219649848212228,0.014436306189008461,0.46530303030303033,0.11747573605630496,0.7958413641010932,0.03317095948604158,0.9603315088102695,0.0016684911897304339,0.03139884858928393,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
4,0.962875,0.12243910096642543,0.016516056286309738,0.45540404040404037,0.11424665359529615,0.8016882220819038,0.03291627845178013,0.9609434136305328,0.00193158636946714,0.031065290726141795,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
5,0.961125,0.12416292939837098,0.015241979009465704,0.45540404040404037,0.118084380187473,0.7984794864131691,0.033640626722116686,0.9598330426760177,0.0012919573239824553,0.03219951575678738,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
6,0.962,0.1233985149608408,0.01495173103236013,0.46530303030303033,0.1161523181920786,0.7962322987111218,0.03301092464835086,0.960500317839309,0.0014996821606908725,0.031332492039859904,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
7,0.961625,0.11960584987732356,0.014797837297478167,0.45540404040404037,0.12084217738082302,0.7897367452005615,0.0332803345743161,0.9599279458620449,0.0016970541379551368,0.03139475672376896,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
8,0.96125,0.12289518356603153,0.014323356110753721,0.46530303030303033,0.11718558206287472,0.7926005378646721,0.03284142058405852,0.9603944553058298,0.0008555446941702453,0.0315683242216038,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
9,0.963125,0.12165117093638401,0.02103143613324785,0.33040404040404037,0.15556168818111593,0.755242671087187,0.043918616475210816,0.9486754560036526,0.014449543996347403,0.031179745994743883,GPcalib,KITTI,1layer_NN,2,9090,1000,8000
