,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
0,0.3422,16.41774217725802,0.11109382424242426,0.09690617380952378,0.4753232323232323,0.4780302619914484,0.29690555599194707,0.2797460518835634,0.44177537577694737,0.09957537577694736,8.202033996582031,3.095674991607666,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
1,0.3522,16.069252067804612,0.11749473232323238,0.0993450571428571,0.5297575757575758,0.47106278711100386,0.31238983193422143,0.2933825223973537,0.4512368087386407,0.09903680873864065,8.39384651184082,3.1750190258026123,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
2,0.3421,16.06562495382638,0.10978448282828283,0.08799210714285711,0.4553030303030303,0.4689861506889291,0.2854574927267154,0.30911693511076505,0.42415358096351335,0.0820535809635133,8.303048849105835,3.1190178394317627,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
3,0.3509,15.965171064460012,0.10857090101010103,0.0921593761904762,0.45079797979797975,0.45881381241276875,0.3002947024981289,0.30324919946791873,0.43941114729824277,0.08851114729824279,8.354081630706787,3.155341148376465,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
4,0.3408,16.063050593837946,0.11448936464646467,0.0964329619047619,0.46648695914367555,0.4503964280805327,0.29917686884049266,0.31249793505205464,0.4315180956739126,0.09071809567391255,8.308674097061157,3.140749931335449,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
5,0.3386,16.52518948856876,0.1178366838383838,0.09729746904761905,0.4613838383838384,0.47827873180684755,0.29385383429229855,0.29955425127565527,0.43152585651898934,0.0929258565189894,8.276177167892456,3.1221892833709717,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
6,0.3497,15.848513519789147,0.10942126767676769,0.0936653357142857,0.49383838383838385,0.4659888200090167,0.29853050809548576,0.3027700854856304,0.43795569052016947,0.08825569052016942,8.462526559829712,3.203228235244751,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
7,0.3436,16.074228453660304,0.12163995353535353,0.10636114523809521,0.4822505780698552,0.4662079270372845,0.31388773486084687,0.30592493025366996,0.444520103127499,0.10092010312749887,8.396595239639282,3.1847219467163086,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
8,0.3535,15.926476718732872,0.1134464323232323,0.09023895952380952,0.44535353535353533,0.4766229334955561,0.2986910558657523,0.2965750205004143,0.44176449787031236,0.08826449787031243,8.503277063369751,3.2000818252563477,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
9,0.3612,15.77724593793865,0.10791222323232326,0.08807785238095237,0.5098881118881119,0.47736923571142176,0.29982185237177794,0.29835906317826894,0.44495890567510094,0.08375890567510103,8.541058540344238,3.220658302307129,Platt,ImageNet,alexnet,1000,50000,1000,10000,False
0,0.4511,14.806690570334272,0.09089755555555554,0.09965928333333338,0.5020744284954812,0.6183416225989581,0.290478104033062,0.17255113126071064,0.5327056159920411,0.08160561599204115,8.39946460723877,3.1305272579193115,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
1,0.4391,15.331561455019,0.09639812424242421,0.10225666904761907,0.5554444444444444,0.6161289298279927,0.28946083286012486,0.18306421194923658,0.5210750856843342,0.08197508568433423,8.245702505111694,3.073505163192749,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
2,0.4292,15.84065293373625,0.10302751111111107,0.10784708809523813,0.5130404040404041,0.6182079803259442,0.2903317352144444,0.16885941637087665,0.5224468929540246,0.09324689295402458,8.201549768447876,3.0776870250701904,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
3,0.4521,15.025757416309544,0.0943317303030303,0.10092163809523813,0.5839622026718801,0.6116435207814238,0.2960446379767627,0.17043860293668944,0.5372475647597911,0.08514756475979103,8.320334434509277,3.114983081817627,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
4,0.4609,14.491330210961873,0.08484939898989899,0.08922112142857146,0.5120404040404041,0.5992061958403814,0.2880719208072109,0.18946008174753476,0.5288774208297287,0.06797742082972862,8.485286951065063,3.1516683101654053,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
5,0.4617,14.762696783660509,0.11591155959595956,0.11289113095238099,0.6852121212121213,0.6264927921634509,0.32340919978836935,0.14323936658610442,0.5696575566932748,0.10795755669327482,8.59637188911438,3.199866771697998,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
6,0.4499,14.687188502245137,0.09034501212121208,0.07166854047619046,0.6213751803751804,0.5881091477105718,0.2948704916463695,0.19285239645406352,0.5253439642899848,0.0754439642899847,8.410833597183228,3.097458839416504,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
7,0.4545,14.536025503585316,0.08651824848484847,0.09275557380952382,0.5464823232323233,0.5871482102386992,0.29180646531591375,0.19030978786913477,0.5271846282433093,0.07268462824330918,8.465933084487915,3.12670636177063,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
8,0.4261,15.919091515756351,0.0976724343434343,0.08119164285714288,0.6273012887495646,0.6018054726723012,0.2877181374601967,0.19336218648971482,0.5088298114251395,0.08272981142513942,8.000950336456299,2.9947845935821533,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
9,0.4484,14.840084937475456,0.10509590909090907,0.10927277619047622,0.42409888357256775,0.6101113425809429,0.3068056087301554,0.17222752881175765,0.5404071498563616,0.09200714985636158,8.546427488327026,3.203540802001953,Platt,ImageNet,vgg19,1000,50000,1000,10000,False
0,0.465,15.056907863658813,0.10295443131313127,0.09228784285714291,0.5203535353535353,0.6794703167509519,0.28009803179428705,0.13325613292191096,0.552888345201255,0.08788834520125494,8.294976234436035,3.0505311489105225,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
1,0.4795,14.516152242363503,0.08962607474747472,0.09286244523809527,0.5294675324675324,0.6465720865786875,0.29094127937794934,0.13939088345766437,0.5640970072982725,0.08459700729827256,8.464170932769775,3.145894765853882,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
2,0.4856,14.401675501584917,0.08209668787878785,0.08215933809523814,0.567929292929293,0.6497818758731373,0.27836553338707914,0.14464269196285706,0.5585527391571502,0.07295273915715011,8.559727907180786,3.168851613998413,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
3,0.4758,14.413961252478463,0.09349039393939394,0.09626948809523814,0.5559225589225589,0.6304298286967628,0.29223129989324015,0.1578724653991052,0.5538719283671422,0.07807192836714222,8.614403009414673,3.1893930435180664,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
4,0.4748,14.543345734323774,0.08765801111111109,0.0863345380952381,0.5514458874458874,0.636925524244001,0.2762229142579896,0.15347342348728432,0.5470030930965335,0.07220309309653354,8.391081809997559,3.1238458156585693,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
5,0.4722,14.706960422932578,0.08086672828282829,0.08639474523809527,0.542040404040404,0.6417035483249944,0.2715753898139817,0.1609448535940231,0.5395393308767219,0.06733933087672186,8.402679204940796,3.0867724418640137,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
6,0.466,14.809620939456837,0.08234713030303029,0.08366980714285717,0.4349278147326927,0.6642219032746189,0.26267820597959535,0.1540004928711022,0.5345059323151703,0.0685059323151703,8.48420000076294,3.1380538940429688,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
7,0.4732,14.520012724114517,0.08236277676767674,0.08629920476190478,0.5114871794871795,0.6242610733318211,0.27753032044737236,0.1519032234902327,0.5475223674560977,0.07432236745609763,8.316088438034058,3.0464658737182617,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
8,0.4575,15.302529952965829,0.08150156969696969,0.08485965952380957,0.5703030303030303,0.6414296753658484,0.2664408269552877,0.16818485937400957,0.5250995754596341,0.0675995754596342,8.158092260360718,3.032794713973999,Platt,ImageNet,resnet50,1000,50000,1000,10000,False
