,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.96675,0.1071430745263591,0.016509494949494982,0.02462172619047618,0.6881313131313131,0.059609487334576855,0.8413596779249776,0.023273419773018642,0.9722256307254397,0.005475630725439731,0.027196961429901897,Platt,KITTI,XGBoost,2,9090,1000,8000
1,0.968125,0.10200373289436163,0.021446603535353576,0.026090178571428525,0.698030303030303,0.0653892581130083,0.8154280076784455,0.03161824933160556,0.9635063501105898,0.004618649889410194,0.02552663975023576,Platt,KITTI,XGBoost,2,9090,1000,8000
2,0.967625,0.10337990649281482,0.01986835858585861,0.02468035714285709,0.6435858585858586,0.06082496703542546,0.8357906461153763,0.02574819168693432,0.9697691281869155,0.002144128186915527,0.026457435191208897,Platt,KITTI,XGBoost,2,9090,1000,8000
3,0.967625,0.10187559211819538,0.021290555555555587,0.026507142857142875,0.702979797979798,0.0644137562792304,0.8214504425371286,0.02824392082107925,0.9668899341926427,0.0007350658073572332,0.025935549147027573,Platt,KITTI,XGBoost,2,9090,1000,8000
4,0.96625,0.10831608634501572,0.018505707070707055,0.025847916666666637,0.6138888888888889,0.056717114035217536,0.8487507780097503,0.019418493168893554,0.9761322197333857,0.009882219733385631,0.027654724975261225,Platt,KITTI,XGBoost,2,9090,1000,8000
5,0.967,0.1036231613564766,0.021055732323232348,0.02554791666666662,0.6336868686868686,0.06553947012862338,0.8235571213057539,0.027696291451685107,0.9673950711693103,0.0003950711693104028,0.02651355624616267,Platt,KITTI,XGBoost,2,9090,1000,8000
6,0.967625,0.1037733752333426,0.02013054292929296,0.025186904761904726,0.6831818181818181,0.06186095776405694,0.834967251744118,0.02543294969194781,0.9700475068295448,0.0024225068295448543,0.02645210796907883,Platt,KITTI,XGBoost,2,9090,1000,8000
7,0.96775,0.10418875677314893,0.019722108585858603,0.024780357142857156,0.6386363636363637,0.06460677608770904,0.8336566161011889,0.02750305706166457,0.9680193423978375,0.0002693423978374562,0.02658103296423707,Platt,KITTI,XGBoost,2,9090,1000,8000
8,0.966375,0.10638180865912383,0.01720895202020202,0.026301785714285743,0.6930808080808081,0.05750876891811841,0.840545265502542,0.02170476360981345,0.9736633936190895,0.007288393619089516,0.027189134710834204,Platt,KITTI,XGBoost,2,9090,1000,8000
9,0.968125,0.10396850271691783,0.022116868686868702,0.02424642857142856,0.702979797979798,0.061736236273845356,0.8381267960568795,0.026533591131227805,0.9691524587103931,0.0010274587103931004,0.02636518650500952,Platt,KITTI,XGBoost,2,9090,1000,8000
0,0.954625,0.13118614283771105,0.01953886363636365,0.023125297619047597,0.6683333333333333,0.10589627782734216,0.7946793105995805,0.037193031498293394,0.9551781760243977,0.0005531760243976738,0.03536883339095018,Platt,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95375,0.13086922827965145,0.0219265909090909,0.023496726190476196,0.6782323232323233,0.10847196198981242,0.7835360458345119,0.03817376128289051,0.9535803172962894,0.00016968270371063576,0.03516052136916575,Platt,KITTI,mondrian_forest,2,9031,1000,8000
2,0.95425,0.1320462568898622,0.020181249999999984,0.02336517857142857,0.4801515151515151,0.10538673049745295,0.7965909699807185,0.036569514277659136,0.9557975778771617,0.0015475778771616086,0.035677775197020124,Platt,KITTI,mondrian_forest,2,9031,1000,8000
3,0.95325,0.1332633352848665,0.01990662878787878,0.02371309523809527,0.702979797979798,0.10695825805077962,0.7917816829217297,0.03534475714944448,0.9565734039238829,0.0033234039238828755,0.03585151211672266,Platt,KITTI,mondrian_forest,2,9031,1000,8000
4,0.953875,0.13223570411484,0.019930252525252514,0.023643154761904747,0.43863636363636366,0.10589753695111728,0.7968260629164103,0.0353579970727414,0.9569014926942582,0.003026492694258205,0.03585745437095932,Platt,KITTI,mondrian_forest,2,9031,1000,8000
5,0.953875,0.13021478743284,0.020495138888888882,0.02461398809523812,0.5445959595959596,0.10750201026123392,0.7888518380746011,0.03618645505257518,0.9557434362179158,0.0018684362179158046,0.035323261282051606,Platt,KITTI,mondrian_forest,2,9031,1000,8000
6,0.953625,0.13353552057791462,0.01848489898989901,0.0225672619047619,0.6386363636363637,0.1028934230061962,0.8014357634848674,0.03210838560267414,0.9601722243112606,0.006547224311260643,0.03597445386255403,Platt,KITTI,mondrian_forest,2,9031,1000,8000
7,0.954375,0.13181058350725686,0.017930845959595952,0.0242241071428571,0.5792424242424242,0.10684496212288618,0.7961760767232642,0.03558500737771902,0.9567390920843883,0.0023640920843883625,0.035574548561094675,Platt,KITTI,mondrian_forest,2,9031,1000,8000
8,0.9535,0.1322785270530029,0.020029255050505065,0.023900892857142877,0.5346969696969697,0.10589174780939853,0.7889429415232476,0.036900222520523426,0.9550014846075119,0.00150148460751192,0.035513966907997664,Platt,KITTI,mondrian_forest,2,9031,1000,8000
9,0.953875,0.1326188894143561,0.01913782828282826,0.02269255952380948,0.6237878787878788,0.1029055864945079,0.8006303792616312,0.03324834196473309,0.9590893140518331,0.005214314051832938,0.03583763191764727,Platt,KITTI,mondrian_forest,2,9031,1000,8000
0,0.96375,0.112696609643498,0.013881186868686899,0.022467261904761886,0.8811616161616161,0.09424621817909401,0.8111856239407763,0.02620473389756876,0.9679006665740713,0.004150666574071253,0.029480977279709077,Platt,KITTI,random_forest,2,9090,1000,8000
1,0.963,0.11274762420296347,0.010882525252525237,0.024180654761904726,0.8811616161616161,0.10288140852528678,0.797884534073724,0.030690199584644848,0.9629670655607147,3.293443928517603e-05,0.029844178026466283,Platt,KITTI,random_forest,2,9090,1000,8000
2,0.962,0.11109157728535653,0.017536830808080783,0.026013988095238076,0.7673232323232323,0.10763745308731518,0.7825493484123173,0.032619606487804396,0.9603568137984002,0.0016431862015997452,0.029771832591905776,Platt,KITTI,random_forest,2,9090,1000,8000
3,0.964125,0.10785474758114474,0.017815454545454572,0.02727559523809524,0.8663131313131314,0.10804480055247226,0.7743648021284288,0.03632024159684668,0.9568880843467975,0.007236915653202426,0.028296267758528806,Platt,KITTI,random_forest,2,9090,1000,8000
4,0.961875,0.1118743557513453,0.014796426767676745,0.0270372023809524,0.9059090909090909,0.10548298627275474,0.7768021604940508,0.03306003238761521,0.9596909637159983,0.002184036284001715,0.029322845700033247,Platt,KITTI,random_forest,2,9090,1000,8000
5,0.96175,0.11213682142552091,0.013932752525252508,0.02429464285714287,0.8514646464646465,0.09545114990022821,0.7988464917954514,0.025570750912779647,0.9677132086208102,0.005963208620810196,0.029869144676571025,Platt,KITTI,random_forest,2,9090,1000,8000
6,0.964,0.10965048348799823,0.01905159090909091,0.028210119047619067,0.603989898989899,0.11000964626146488,0.7744354829799458,0.0376119188981207,0.9556217875694897,0.00837821243051028,0.02860352395406374,Platt,KITTI,random_forest,2,9090,1000,8000
7,0.961625,0.11603019264183809,0.01297584595959596,0.023452083333333297,0.8762121212121212,0.09008071768592195,0.8089909252869896,0.022539892442091525,0.970995102688262,0.009370102688262001,0.03018567868360412,Platt,KITTI,random_forest,2,9090,1000,8000
8,0.964,0.10950375447805855,0.014734583333333322,0.027102380952380975,0.8514646464646465,0.10574152368705676,0.782987608205414,0.03464509592742858,0.9587896814213538,0.00521031857864622,0.028681417272930575,Platt,KITTI,random_forest,2,9090,1000,8000
9,0.962125,0.11183813179252289,0.011646906565656565,0.02414345238095237,0.8118686868686869,0.10113842094350393,0.7914268361212371,0.02837901305675652,0.9647961334808599,0.002671133480859983,0.02963525621913652,Platt,KITTI,random_forest,2,9090,1000,8000
0,0.964125,0.12008469532106247,0.02789549242424246,0.030437499999999968,0.7326767676767677,0.04602741733433084,0.8572742909692412,0.026948341069980803,0.9688981458544262,0.004773145854426279,0.02947810970253336,Platt,KITTI,1layer_NN,2,9090,1000,8000
1,0.964125,0.1208666621113662,0.026155063131313147,0.02886160714285714,0.6782323232323233,0.047422549108027075,0.8575047141817467,0.026344139524979198,0.9694889381017495,0.005363938101749587,0.02954542697128597,Platt,KITTI,1layer_NN,2,9090,1000,8000
2,0.964625,0.11929210678085934,0.03007275252525256,0.03179642857142856,0.6287373737373737,0.0496367381862892,0.8458786101616662,0.0315609768457565,0.964103448544631,0.0005215514553688801,0.02886138242495183,Platt,KITTI,1layer_NN,2,9090,1000,8000
3,0.964125,0.11968410881815658,0.024494191919191947,0.030397321428571416,0.603989898989899,0.04741630607974028,0.8548134196310947,0.02668078419706271,0.9690678203652724,0.0049428203652724274,0.02937781128557862,Platt,KITTI,1layer_NN,2,9090,1000,8000
4,0.96575,0.11948643264753807,0.026785580808080803,0.029596130952380954,0.6435858585858586,0.04716555982139144,0.8612160698672937,0.02820825408018726,0.968004529015014,0.002254529015013964,0.028714489957361568,Platt,KITTI,1layer_NN,2,9090,1000,8000
5,0.964,0.12451486366127396,0.025012929292929247,0.027831547619047662,0.6534848484848484,0.04334885104195083,0.8728435182988079,0.02161633078302161,0.9745842237839243,0.01058422378392428,0.03019965952540297,Platt,KITTI,1layer_NN,2,9090,1000,8000
6,0.96425,0.11991382327969442,0.027699204545454534,0.0293083333333333,0.707929292929293,0.047659755215349105,0.8543722912879456,0.02656862452201684,0.9691750132181894,0.004925013218189271,0.02926616099630861,Platt,KITTI,1layer_NN,2,9090,1000,8000
7,0.963875,0.12011041220360871,0.031102474747474795,0.031714285714285716,0.6683333333333333,0.05193959964773497,0.8433017202279584,0.03345670894820062,0.9620911893057881,0.001783810694211907,0.029486446414580775,Platt,KITTI,1layer_NN,2,9090,1000,8000
8,0.963625,0.12166428182638225,0.02953982323232327,0.03167916666666669,0.7821717171717172,0.048668895600920775,0.8645553089439474,0.02758086683866038,0.9684955865554321,0.0048705865554320195,0.03055535254146912,Platt,KITTI,1layer_NN,2,9090,1000,8000
9,0.96575,0.11921504078988109,0.035837222222222236,0.03571249999999999,0.7227777777777777,0.05364287015458727,0.8377128802281131,0.04138475622769875,0.9544743378209128,0.011275662179087192,0.028558178512208744,Platt,KITTI,1layer_NN,2,9090,1000,8000
