,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
0,0.4632,11.960550586906667,0.26827914514546275,0.44180808080808076,0.5066780965646126,0.510394297435294,0.0925234464890621,0.6943227984495322,0.23112279844953218,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
1,0.4423,12.046570766377068,0.2770651844153095,0.4873535353535353,0.5331891300542021,0.49337889970827825,0.09256086154167381,0.6765177433074244,0.23421774330742445,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
2,0.4406,13.064829358933167,0.28354532855987985,0.468270202020202,0.49510772251382057,0.5137137238709643,0.09175538406095168,0.6875440349161621,0.24694403491616207,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
3,0.4605,14.099149009878767,0.29824234047529685,0.5662807384186694,0.373654403826201,0.5903639612406626,0.08715802112415601,0.7388650883616635,0.2783650883616636,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
4,0.4699,12.652022189375037,0.26272619579794365,0.4988321678321679,0.44024359671239394,0.5355580287180991,0.10084062444995426,0.706414301594431,0.23651430159443082,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
5,0.472,12.442681479596244,0.2738227037021781,0.5037900627900627,0.4616211230647847,0.538734772599985,0.08738514522227672,0.7152061713878775,0.24320617138787748,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
6,0.4558,13.232656224263797,0.2768629505063931,0.4938415404040404,0.43138224651518187,0.5474723377157094,0.10251015395626668,0.7070103180116228,0.25121031801162275,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
7,0.4656,13.673334570904641,0.3020237206444178,0.590633624379387,0.3900212156474342,0.6123090949612032,0.10004677088303046,0.7462362038241279,0.280636203824128,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
8,0.437,12.896029483503586,0.29405862423934426,0.4613763955342903,0.5140105404134265,0.5216153666129743,0.09608575887054242,0.6886799747766775,0.2516799747766774,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
9,0.4561,12.99551705255807,0.2732901896321708,0.49458441558441557,0.45158455150575577,0.5367595179072578,0.10352304420150231,0.7008266413294523,0.24472664132945238,Isotonic,ImageNet,vgg19,1000,50000,1000,10000
0,0.4754,10.893328542889467,0.26351102084885863,0.49610101010101015,0.5694892577447263,0.48209289454757165,0.07478242964363639,0.6927543654270714,0.21735436542707134,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
1,0.4911,11.14296848802569,0.2638678835148937,0.4630909090909091,0.5259068974609973,0.5154626602129974,0.07543196772076668,0.7163743084347257,0.22527430843472582,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
2,0.4966,11.22935188067628,0.2522830155130225,0.43179200455256794,0.5125779458401394,0.5101330814781891,0.07902537476427715,0.7141569921081804,0.2175569921081804,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
3,0.4819,11.463873223014868,0.2703807598242098,0.559006006006006,0.49783613618734623,0.5249955061321963,0.07959711179728202,0.7155423235519807,0.2336423235519807,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
4,0.4859,10.792018566076509,0.24613265282638108,0.4355995807127883,0.5541994584433463,0.4799336481576693,0.08166870182740678,0.6929510662999208,0.20705106629992084,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
5,0.4804,12.533035019869978,0.2800256159807362,0.48055135166695856,0.4351381059428055,0.5620957624818009,0.08396376138356307,0.73212876721688,0.2517287672168801,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
6,0.4763,13.106937603414595,0.3063580475759468,0.5908137185811605,0.4102215752836905,0.6139556517569144,0.08782478549021089,0.7559976294961087,0.2796976294961086,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
7,0.4888,11.840553373410284,0.26205601678364143,0.44540404040404036,0.46864060984331113,0.5350441188250367,0.08557380456871912,0.7204860778701689,0.23168607787016884,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
8,0.4654,12.929220928589759,0.2926510144029735,0.47709673001198427,0.47132932227488195,0.5566097969980792,0.08327801413435804,0.724206009697043,0.2588060096970429,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
9,0.4683,11.92125157931948,0.2862790756994421,0.5173094777562862,0.5189779531477232,0.5308622819036865,0.07832708227843946,0.7138789026571969,0.24557890265719692,Isotonic,ImageNet,resnet50,1000,50000,1000,10000
0,0.4898,10.95844117399645,0.26355810272444796,0.4963143058491895,0.558981218755038,0.4920712387957895,0.06434434606417735,0.7093388853313777,0.21953888533137772,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
1,0.4873,11.246102284636317,0.27309893312347955,0.5011616161616161,0.5343370253362242,0.5176177777968214,0.0682798736133273,0.719409852264656,0.2321098522646559,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
2,0.4877,11.501429138985896,0.26741187707115266,0.45286195286195285,0.5019244521671129,0.5211137123616215,0.07177558846796553,0.7196616003470319,0.2319616003470319,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
3,0.5101,10.798203846706661,0.24985668767419386,0.5277540713254998,0.5313538267032695,0.5078447796090698,0.07118476085435459,0.722581811018677,0.21248181101867702,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
4,0.4824,14.83124816572787,0.3696799887743284,0.6709637312724561,0.25513598506779983,0.7560015854526381,0.06775157893659339,0.8410230589512726,0.3586230589512729,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
5,0.4978,11.00266047019753,0.2657529461279461,0.5161536416799575,0.5326913839957673,0.5216961355441432,0.07246581362651322,0.7237223172469904,0.22592231724699038,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
6,0.4958,11.25006724780736,0.25723651590212093,0.46186868686868693,0.5314299644368161,0.5078215753556528,0.07283595586790204,0.7157315713750144,0.21993157137501426,Isotonic,ImageNet,resnet152,1000,50000,1000,10000
