,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
1,0.4874,14.242370609510154,0.23450513232323233,0.5136963073356515,0.3453953623346614,0.5326689987643948,0.0781693273820452,0.72234639860062,0.23494639860061994,Beta,ImageNet,resnet50,1000,50000,1000,10000
2,0.4944,14.076704540336632,0.21591784848484843,0.4825165945165945,0.3743557727989862,0.5074858417352617,0.08168217876956683,0.7106011723976745,0.21620117239767447,Beta,ImageNet,resnet50,1000,50000,1000,10000
3,0.4812,14.115394505400676,0.22552647979797977,0.48405598356445817,0.3595202539413879,0.5149936207430598,0.08594751795124095,0.7070207448033622,0.22582074480336223,Beta,ImageNet,resnet50,1000,50000,1000,10000
4,0.4856,14.167035291803018,0.2120646424242424,0.5117445421961551,0.3867615045432594,0.49299371149526566,0.08450764965879,0.6981590505188562,0.2125590505188562,Beta,ImageNet,resnet50,1000,50000,1000,10000
5,0.4783,14.321309637882473,0.21996803232323228,0.5098888888888888,0.3637518688792296,0.5049436913138293,0.09023334025884194,0.6985705171126206,0.22027051711262072,Beta,ImageNet,resnet50,1000,50000,1000,10000
6,0.4742,14.364759353109854,0.22303807373737372,0.5499190013340958,0.3594326066838576,0.5075130479777801,0.0918657248688665,0.6974876338939002,0.2232876338939003,Beta,ImageNet,resnet50,1000,50000,1000,10000
7,0.4856,14.159062158693414,0.20938035656565657,0.4905365418894831,0.37834138179577015,0.4902558019804258,0.08772765550509225,0.6951870350254581,0.20958703502545822,Beta,ImageNet,resnet50,1000,50000,1000,10000
8,0.4625,14.9901002865573,0.221458501010101,0.47021138211382113,0.393887255404541,0.4882564187222771,0.08795119465647905,0.6842603975346024,0.2217603975346024,Beta,ImageNet,resnet50,1000,50000,1000,10000
9,0.4696,14.807315462671662,0.24264789696969696,0.49073015873015874,0.34576305981260064,0.5342902448481578,0.0858522555178513,0.71267132667628,0.24307132667627993,Beta,ImageNet,resnet50,1000,50000,1000,10000
0,0.4889,14.487616768951952,0.23239874545454542,0.5792700778274549,0.36642280212476663,0.5214717394596362,0.06872642243932506,0.721823858107234,0.23292385810723404,Beta,ImageNet,resnet152,1000,50000,1000,10000
1,0.4863,14.586032957354234,0.22856724848484847,0.5120643274853802,0.370020918558347,0.5178851933430827,0.07629272683176597,0.7152364707620537,0.22893647076205384,Beta,ImageNet,resnet152,1000,50000,1000,10000
2,0.4852,14.285013620461541,0.20518999797979795,0.5047565124933546,0.409252661261809,0.4720961746068415,0.07766479523022864,0.6905521520418951,0.20535215204189505,Beta,ImageNet,resnet152,1000,50000,1000,10000
3,0.5051,13.912089820969832,0.21199599494949495,0.5353636363636364,0.3841821496080291,0.5012539863576767,0.07067402476877659,0.7174731479377051,0.21237314793770515,Beta,ImageNet,resnet152,1000,50000,1000,10000
4,0.4784,14.74198805873191,0.23351823030303026,0.539598086124402,0.35788428590542476,0.5138110947670461,0.0715248822356315,0.712186363368965,0.2337863633689652,Beta,ImageNet,resnet152,1000,50000,1000,10000
5,0.4949,14.13130124938077,0.23239068686868686,0.567377990430622,0.3536574833519027,0.5330203092956753,0.07362333910144118,0.7276923677039424,0.23279236770394235,Beta,ImageNet,resnet152,1000,50000,1000,10000
6,0.4947,14.329009930958186,0.20586171313131313,0.46639869281045754,0.3980066725647023,0.48331153494440343,0.0766804005756703,0.7009835244426229,0.206283524442623,Beta,ImageNet,resnet152,1000,50000,1000,10000
7,0.4922,14.312551624116741,0.20015900707070708,0.5011026049973418,0.417389965357917,0.4647852842672059,0.07288475037849558,0.6923440932145916,0.20014409321459165,Beta,ImageNet,resnet152,1000,50000,1000,10000
8,0.4948,14.16653569354245,0.22857164949494949,0.5598383838383838,0.3537847059771595,0.5254534138829936,0.07353795035304156,0.7238724868590034,0.2290724868590034,Beta,ImageNet,resnet152,1000,50000,1000,10000
9,0.4814,14.422287919409204,0.22242241616161618,0.5399281045751634,0.37595410308677424,0.49851959133950174,0.07413016273998346,0.7042459997256375,0.22284599972563754,Beta,ImageNet,resnet152,1000,50000,1000,10000
0,0.4808,14.1162232164457,0.2412060303030303,0.4951818181818181,0.34989011611577264,0.5388592426324491,0.07920920209737092,0.7224919344063516,0.24169193440635164,Beta,ImageNet,densenet121,1000,50000,1000,10000
1,0.4664,14.60172201079476,0.24053966161616164,0.4926011730205278,0.34556678681191594,0.5309929530347844,0.09120273812126581,0.7072008826796027,0.24080088267960262,Beta,ImageNet,densenet121,1000,50000,1000,10000
2,0.457,14.656778064776331,0.21488231010101008,0.5204057971014493,0.3864706343949075,0.4859475584014737,0.10706691652936991,0.6719399433580782,0.21493994335807812,Beta,ImageNet,densenet121,1000,50000,1000,10000
3,0.4531,14.971251671946387,0.2220244333333333,0.5129271402550091,0.394230020144962,0.48469185674684084,0.09458054845129621,0.6753235299515649,0.22222352995156489,Beta,ImageNet,densenet121,1000,50000,1000,10000
4,0.4739,14.278417016049623,0.21982162929292925,0.45107917888563054,0.3728025318722728,0.5034029882697382,0.09430274802318683,0.6940502398405209,0.22015023984052098,Beta,ImageNet,densenet121,1000,50000,1000,10000
5,0.4801,14.189651572970167,0.2095077888888889,0.46186868686868693,0.3834173046173623,0.49031974405346684,0.09409638843093261,0.6898415588477066,0.20974155884770665,Beta,ImageNet,densenet121,1000,50000,1000,10000
6,0.4752,14.528394489295804,0.22709995656565657,0.954040404040404,0.3527899930320225,0.5173088601906266,0.09320871988009012,0.7023909061410221,0.227190906141022,Beta,ImageNet,densenet121,1000,50000,1000,10000
7,0.4638,14.534453980413845,0.25292755858585864,0.45754001554001555,0.3155003289522154,0.5543887692139952,0.09492949225366511,0.7170349595452944,0.25323495954529435,Beta,ImageNet,densenet121,1000,50000,1000,10000
8,0.4684,14.49805181244847,0.24248027979797981,0.5143526570048309,0.3434413637352603,0.5336967640226863,0.08734374724553869,0.7112013885446498,0.24280138854464975,Beta,ImageNet,densenet121,1000,50000,1000,10000
9,0.4733,14.259806034063093,0.22690007878787882,0.46925490196078434,0.3598012666182615,0.5097024233691225,0.08735444448703128,0.7004154078128049,0.22711540781280493,Beta,ImageNet,densenet121,1000,50000,1000,10000
0,0.4927,14.355444471156542,0.23112319292929293,0.5425263157894737,0.3532034708898897,0.5307420615403317,0.07652516797961088,0.724241497555856,0.23154149755585596,Beta,ImageNet,densenet201,1000,50000,1000,10000
1,0.478,14.532883864075798,0.2296835121212121,0.5142828282828283,0.37354516567732576,0.5153267362733176,0.08120712020529101,0.7081835528765427,0.23018355287654269,Beta,ImageNet,densenet201,1000,50000,1000,10000
2,0.48,14.521482738579234,0.22081945252525248,0.49011727443930836,0.3904598364132278,0.49972571419038786,0.08096203352679902,0.7009955952861382,0.22099559528613819,Beta,ImageNet,densenet201,1000,50000,1000,10000
3,0.47,14.820279768255268,0.2082382848484848,0.5248592375366568,0.4115119934163813,0.4700957226054928,0.08628271670037986,0.6785978561317326,0.20859785613173265,Beta,ImageNet,densenet201,1000,50000,1000,10000
4,0.4828,14.504320080868123,0.24381536969696968,0.5149751614505713,0.3425113687069234,0.542983210428645,0.07569290899224643,0.7270863799722385,0.2442863799722386,Beta,ImageNet,densenet201,1000,50000,1000,10000
5,0.4724,14.74104366407445,0.23037947070707074,0.5095864527629234,0.38372630008004927,0.5086016462407636,0.07912838281874741,0.7033579805130507,0.23095798051305064,Beta,ImageNet,densenet201,1000,50000,1000,10000
6,0.4788,14.808424700023956,0.21322634343434338,0.45187878787878794,0.3872338172996585,0.4873698197716786,0.08495257381775172,0.6921418577210594,0.21334185772105935,Beta,ImageNet,densenet201,1000,50000,1000,10000
7,0.4886,14.16029310316426,0.19311776666666666,0.448949494949495,0.40834031535070414,0.4638317948011593,0.09002956681218718,0.6818151335168783,0.19321513351687825,Beta,ImageNet,densenet201,1000,50000,1000,10000
8,0.4746,14.480661701953592,0.2184982595959596,0.49269191919191924,0.3950076441158382,0.4925561437464579,0.08409086047050204,0.6934794755450886,0.2188794755450887,Beta,ImageNet,densenet201,1000,50000,1000,10000
9,0.49,13.813221367525973,0.19959979696969696,0.5052424242424243,0.4002471672638128,0.4761585843532182,0.08759436236501526,0.6899196404612837,0.1999196404612838,Beta,ImageNet,densenet201,1000,50000,1000,10000
0,0.4992,14.318224876524637,0.16601545252525252,0.510987012987013,0.5390905870825584,0.4000201153415534,0.0685196092573123,0.6653250848217996,0.16612508482179966,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
1,0.5068,14.048378021711772,0.16005479494949493,0.47801875901875895,0.5424062081428057,0.3995942882095687,0.07302176239212807,0.6668724737646288,0.16007247376462877,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
2,0.5102,14.08688881404667,0.1405390898989899,0.5559299976509279,0.5424861005692484,0.37589149733021915,0.08545520341121689,0.6507124106119385,0.14051241061193848,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
3,0.5167,13.833172719359071,0.159245603030303,0.492529194382853,0.5185887751120725,0.4079058626468947,0.0733393587080964,0.6759464567727708,0.15924645677277077,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
4,0.4754,15.389838831150817,0.17495647676767676,0.5286363636363637,0.5240087785776311,0.4005792311074169,0.07372506735345659,0.6504949676191177,0.1750949676191176,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
5,0.5136,14.017474501903052,0.19137025555555556,0.5806666666666667,0.4805722231666673,0.46128340761818304,0.06418546319349089,0.7050025955693073,0.19140259556930733,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
6,0.4984,14.39162289573189,0.16038495454545454,0.4794486727742542,0.5443613174233817,0.39762131729981165,0.07828799507596858,0.6588281160117228,0.1604281160117228,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
7,0.5113,14.117827902919753,0.16705616565656564,0.559006006006006,0.531412533248322,0.40659436669032234,0.06161056069523648,0.6785011873180862,0.16720118731808611,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
8,0.5082,14.34388418808513,0.15583764343434345,0.48389341692789967,0.5417789224405173,0.39361459512278457,0.07423608317024943,0.6640528804142647,0.1558528804142647,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
9,0.5033,14.496274310281285,0.17728491212121208,0.5141486291486291,0.5344802080475407,0.41674354611212366,0.059043335391328534,0.6805800086514361,0.1772800086514362,Beta,ImageNet,inceptionv4,1000,50000,1000,10000
0,0.4907,14.729772387128282,0.18434151717171718,0.5292363166549213,0.48260497421563026,0.4326319243146437,0.07297305041148705,0.6752315632165313,0.18453156321653133,Beta,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
1,0.4964,14.437069322481737,0.18350060404040405,0.5284503862150921,0.4681142089459052,0.43568681174710355,0.07185676777030038,0.6801421788746642,0.18374217887466426,Beta,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000
