,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,Method,Dataset,Model,n_classes,size,calib_size,test_size
2,0.9672222222222222,0.10400824850415288,0.015558843995510642,0.7152020202020202,0.04948973446694385,0.6607390381892159,0.02587485234694751,0.9638530473984045,0.003369174823817697,GPcalib,MNIST,random_forest,10,10000,1000,9000
3,0.966,0.10776148938655426,0.014686936026936001,0.6882323232323232,0.0407814733187095,0.6983978593413046,0.020230960828746182,0.9702024190570355,0.004202419057035566,GPcalib,MNIST,random_forest,10,10000,1000,9000
4,0.9664444444444444,0.10535721814650702,0.013905600448933816,0.6612626262626262,0.0473199662612872,0.6697085530668696,0.023575511406677106,0.9661324649789909,0.00031197946545364827,GPcalib,MNIST,random_forest,10,10000,1000,9000
5,0.9658888888888889,0.10660095076834131,0.015348103254769917,0.6432828282828282,0.04460679046778321,0.6805702979545177,0.02564961249162683,0.9643292222313693,0.0015596666575194706,GPcalib,MNIST,random_forest,10,10000,1000,9000
6,0.9675555555555555,0.10552224235388877,0.014961212121212122,0.40954545454545455,0.053647385516708015,0.6506043496036392,0.026589075254838435,0.9629376447516811,0.004617910803874456,GPcalib,MNIST,random_forest,10,10000,1000,9000
7,0.9657777777777777,0.10635562510125478,0.014183479236812544,0.6342929292929292,0.043622380426349985,0.6833613436472192,0.022427991082962083,0.9675034661500264,0.001725688372248596,GPcalib,MNIST,random_forest,10,10000,1000,9000
8,0.966,0.11082808813464486,0.01322866442199776,0.7152020202020202,0.040676560702316206,0.7078838136059343,0.017099984105300007,0.9735494650168819,0.00754946501688198,GPcalib,MNIST,random_forest,10,10000,1000,9000
9,0.9653333333333334,0.11136451185171758,0.013647025813692471,0.5264141414141413,0.0386860432687756,0.7119597500687228,0.017536908214504238,0.973085642605981,0.007752309272647601,GPcalib,MNIST,random_forest,10,10000,1000,9000
0,0.9744444444444444,0.10562911333644645,0.011029401975344017,0.7702525252525253,0.03676240848680273,0.6985357981950329,0.011355219274340769,0.9812308845054322,0.0067864400609876675,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
1,0.976,0.09563222552674645,0.01266495432790448,0.6253030303030302,0.04014977998233054,0.7007267035355035,0.01797385784915499,0.9752749556240768,0.0007250443759231721,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
2,0.9737777777777777,0.09384073733746505,0.012311103335853274,0.5994444444444444,0.02150078704845982,0.7680632397957405,0.011900964558648596,0.9823292079110888,0.008551430133310969,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
3,0.9727777777777777,0.09639015623247506,0.012535509989207513,0.7062121212121212,0.04796347851236452,0.6511783480521135,0.01668997204006539,0.9742686655624438,0.0014908877846661686,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
4,0.9765555555555555,0.09350379435721634,0.009889525384171446,0.6522727272727272,0.030287964412015134,0.7264416630643716,0.013446306320045863,0.9804555116288555,0.0038999560732999577,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
5,0.9732222222222222,0.10129206106124633,0.008899400383329613,0.6882323232323232,0.040278587529077065,0.6722963807168817,0.012520548425764005,0.9790395493435001,0.0058173271212779605,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
6,0.9707777777777777,0.09568334574299842,0.009566020621512053,0.6443939393939394,0.043278481029802945,0.6430507614266718,0.01300811309595626,0.9769411629039827,0.006163385126205009,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
7,0.9737777777777777,0.10167161651052478,0.01000453069721211,0.5803535353535353,0.03852816871604184,0.6775772030928139,0.012039525125875859,0.9798215357474142,0.006043757969636476,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
8,0.9748888888888889,0.09736006739788519,0.01037371001718184,0.5983333333333333,0.03454040592868813,0.7028640393208923,0.014047049486024865,0.9788442734106821,0.003955384521793257,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
9,0.9774444444444444,0.09181663609278366,0.013511795719640363,0.6702525252525252,0.04563963384404318,0.668517189059377,0.017230660894937116,0.9756812072762546,0.0017632371681898101,GPcalib,MNIST,1layer_NN,10,10000,1000,9000
