,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
6,0.967625,0.10377347696253744,0.020133648989899,0.6831818181818181,0.06186244363122565,0.8349666370354522,0.025433095514310285,0.9700473458269883,0.0024223458269883105,0.026452170666664294,Temp,KITTI,XGBoost,2,9090,1000,8000
7,0.967375,0.10405216813976977,0.019592474747474775,0.6782323232323233,0.06377412126249597,0.830315186861027,0.027185147307695435,0.9681658010945591,0.0007908010945591459,0.026551866506216822,Temp,KITTI,XGBoost,2,9090,1000,8000
8,0.967,0.10425516960478588,0.018590113636363603,0.6881313131313131,0.0564708463784744,0.8419098701284311,0.022416143828295258,0.9731066146322768,0.006106614632276738,0.026818292325180647,Temp,KITTI,XGBoost,2,9090,1000,8000
9,0.967875,0.10381395847604674,0.020796401515151518,0.6831818181818181,0.06238012785457917,0.8345192834268002,0.02655383434227827,0.9689831395660533,0.0011081395660533372,0.026353180237513166,Temp,KITTI,XGBoost,2,9090,1000,8000
0,0.954,0.13110994219575758,0.0208342803030303,0.5841919191919192,0.10564212756101966,0.7888410067626381,0.036686450047761464,0.9552878129655169,0.0012878129655169504,0.03517435993501148,Temp,KITTI,mondrian_forest,2,9031,1000,8000
1,0.95375,0.13088938505992395,0.021347512626262614,0.5841919191919192,0.10846605264290166,0.7835823403681044,0.038172142015348555,0.9535840027948862,0.00016599720511384364,0.035164092179739884,Temp,KITTI,mondrian_forest,2,9031,1000,8000
2,0.95375,0.13186996830650208,0.01926032828282825,0.46530303030303033,0.10650359514563826,0.7895583504428183,0.03661738091112591,0.9553432466639941,0.001593246663994026,0.03543401567173889,Temp,KITTI,mondrian_forest,2,9031,1000,8000
3,0.95375,0.13259908118325667,0.020310441919191905,0.5247979797979798,0.10790272937178796,0.7926000576034837,0.03563538444446851,0.9564205047502492,0.0026705047502492904,0.03570775533020883,Temp,KITTI,mondrian_forest,2,9031,1000,8000
4,0.953,0.13262533879738797,0.0196955681818182,0.6089393939393939,0.10560764619975598,0.79228147187952,0.03487012784964576,0.957005997337625,0.004005997337625071,0.03592259544935601,Temp,KITTI,mondrian_forest,2,9031,1000,8000
5,0.9535,0.13062649561692732,0.020108876262626266,0.5198484848484849,0.10705769046282795,0.7870871292282742,0.03607521329383277,0.9557018356334451,0.0022018356334451913,0.035351699650195814,Temp,KITTI,mondrian_forest,2,9031,1000,8000
6,0.953125,0.1338084615297847,0.0195156186868687,0.5544949494949495,0.102804543605265,0.7989162778375032,0.03183236849991371,0.9602339742971528,0.007108974297152706,0.03602921866229758,Temp,KITTI,mondrian_forest,2,9031,1000,8000
7,0.953875,0.13238581509352154,0.019392916666666652,0.5891414141414142,0.10631127209696599,0.7938409057741139,0.03523197385466998,0.9568840127182077,0.0030090127182076515,0.0356094358661928,Temp,KITTI,mondrian_forest,2,9031,1000,8000
8,0.9535,0.13164717959149216,0.02103915404040403,0.5841919191919192,0.10716478086836989,0.7866900020296619,0.0370117325883101,0.9547903980714255,0.0012903980714255858,0.03540303987472128,Temp,KITTI,mondrian_forest,2,9031,1000,8000
9,0.953625,0.13232350090085093,0.018782310606060584,0.6881313131313131,0.10468409875145254,0.7944300739505591,0.03343512784171397,0.9585821208914026,0.004957120891402739,0.03556576839621302,Temp,KITTI,mondrian_forest,2,9031,1000,8000
0,0.964,0.11281383034169964,0.01198901515151517,0.9158080808080808,0.09447134431453198,0.8131966423645459,0.026324258701267075,0.9678984937371022,0.003898493737102219,0.029484385916874963,Temp,KITTI,random_forest,2,9090,1000,8000
1,0.963,0.11220775232065489,0.010814015151515127,0.8712626262626262,0.10287199712061024,0.7971505440060351,0.030639170266918356,0.9629890491611809,1.0950838819051567e-05,0.02978764687100072,Temp,KITTI,random_forest,2,9090,1000,8000
2,0.96375,0.10942829080305815,0.01257361111111113,0.8613636363636363,0.10553782513487187,0.7853432692071122,0.03363118958538757,0.9598066345458406,0.003943365454159454,0.02889818320071787,Temp,KITTI,random_forest,2,9090,1000,8000
3,0.965,0.10787554141813513,0.015981212121212122,0.8514646464646465,0.10766428177292496,0.7786988455182597,0.0368399093677157,0.9567039470532934,0.008296052946706538,0.028111643870648663,Temp,KITTI,random_forest,2,9090,1000,8000
