,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
2,0.8073333333333333,0.41669031167687204,0.039075308641975316,0.02364947089947089,0.26237373737373737,0.2948189270519772,0.7161143380564037,0.1549560529548426,0.8202035090466575,0.012870175713324161,0.13402697201062475,0.15265154838562012,0.8583447933197021,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
3,0.808,0.4190694574079455,0.04217744107744107,0.022605555555555556,0.1912373737373737,0.29764574899676827,0.718215824924955,0.1558589374445861,0.8199634169303658,0.011963416930365761,0.13480884034250204,0.1536877155303955,0.8749129772186279,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
4,0.8074444444444444,0.4193036783781167,0.04396408529741862,0.025685449735449728,0.26476911976911977,0.2975877676259726,0.7237988147058131,0.14949924582811372,0.8261035918280302,0.01865914738358579,0.13502453986672133,0.1539304256439209,0.8411545753479004,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
5,0.8116666666666666,0.4147868720101707,0.039555342312009,0.028550529100529073,0.17663883735312313,0.2820358651547444,0.7017531306061137,0.17418640054530984,0.8024488778215416,0.009217788845125086,0.1326454080587123,0.15300321578979492,0.8819377422332764,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
6,0.8066666666666666,0.41974771564051966,0.03856591470258137,0.025795238095238118,0.21065656565656565,0.29586523606380727,0.7227502731686424,0.15047501159059234,0.8250152101295264,0.018348543462859718,0.13523930494551523,0.15500831604003906,0.8402125835418701,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
7,0.8107777777777778,0.41501092164074804,0.036869584736251404,0.023598941798941793,0.24871153394409207,0.28473451836729224,0.7058227537728112,0.16933355436044042,0.8070432448341069,0.0037345329436707375,0.13291871714463915,0.15317106246948242,0.8644790649414062,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
8,0.8088888888888889,0.41792338108790145,0.04156479236812571,0.024099735449735444,0.20058690351793795,0.29456715786180165,0.7207179874731038,0.15404294501412155,0.8220224776389926,0.01313358875010373,0.13444771988324886,0.15610313415527344,0.8595621585845947,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
9,0.8077777777777778,0.4172374159734754,0.039511313131313126,0.02402592592592593,0.17396863370547577,0.29327752647226163,0.7191626340169897,0.15351347189758563,0.8220120462393272,0.014234268461549363,0.13426337751658105,0.15651249885559082,0.860114574432373,GPcalib_lin,PCam,XGBoost,2,10000,1000,9000
0,0.7923333333333333,0.4175458733514196,0.043789001122334435,0.03037936507936506,0.18703127162031274,0.37645796034907175,0.6847222341509421,0.16329389881463924,0.8051441181312131,0.012810784797879837,0.13821612417997953,0.1611645221710205,0.8671040534973145,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
1,0.7963333333333333,0.4146251712660951,0.04186491582491583,0.029643386243386242,0.1247207367795603,0.36689028113644206,0.6698371115750508,0.17922071009275184,0.790037399586924,0.006295933746409382,0.1361927050756448,0.15921449661254883,0.8358361721038818,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
2,0.7944444444444444,0.4161983047408933,0.04320905723905723,0.028451851851851846,0.1623737373737374,0.37689132877949144,0.68433638991016,0.16445600912988906,0.8044624284505655,0.010017984006121056,0.13757077070945103,0.15561342239379883,0.8254759311676025,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
3,0.7951111111111111,0.4152642464653741,0.04177945005611672,0.027103439153439147,0.13482768865121808,0.37229121011866617,0.6788956671093626,0.17017945578360782,0.7988977138402408,0.0037866027291296733,0.13701521369762018,0.15172958374023438,0.8114852905273438,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
4,0.7957777777777778,0.4147326639249452,0.04039645342312009,0.02710185185185184,0.1381890331890332,0.37329465872206247,0.6791494757554414,0.1697985632885857,0.7993532695739611,0.0035754917961833554,0.1367600423742142,0.1503615379333496,0.8220627307891846,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
5,0.7935555555555556,0.4155038016272701,0.04579820426487095,0.03219153439153438,0.15943256090314917,0.3752173071905228,0.6855255274709824,0.16230104868912196,0.8062835933670418,0.012728037811486237,0.13757595112046783,0.15771794319152832,0.8816440105438232,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
6,0.7964444444444444,0.4132439525948956,0.04110481481481482,0.026130952380952376,0.1915553494124923,0.4536621001591566,0.6553142723086025,0.17905802725915015,0.7872275341639746,0.009216910280469781,0.13685301901760763,0.1563587188720703,1.0817091464996338,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
7,0.7941111111111111,0.4148486832218749,0.043546285072951746,0.028534920634920632,0.1443666393666394,0.3737547972196543,0.6773120382688331,0.17007826864860234,0.7985010912089541,0.004389980097842999,0.13697204664237386,0.15500593185424805,0.8348045349121094,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
8,0.7942222222222223,0.41483698660487595,0.04194933782267113,0.028737037037037037,0.14548394391677977,0.3763299819903773,0.6802755031801455,0.16710277062985518,0.8014910697141584,0.007268847491936042,0.13711719073933717,0.15624403953552246,0.8366222381591797,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
9,0.7938888888888889,0.4155340414320073,0.04271169472502805,0.028262962962962938,0.1717099567099567,0.3776532596861332,0.682823019327115,0.16487525275974202,0.8037336688759379,0.00984477998704908,0.13748489017160173,0.1550426483154297,0.8467657566070557,GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000
0,0.8498888888888889,0.33297937800041455,0.019197620650953987,0.018704232804232824,0.8514646464646465,0.3538476405875609,0.7028526714362894,0.12148626722025857,0.8521450556825187,0.002256166793629888,0.10487498462288328,0.16157889366149902,0.8555293083190918,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
1,0.8472222222222222,0.3388397164782531,0.021227014590347905,0.019031481481481476,0.11019234902213626,0.35232628781016445,0.7154633467837096,0.110538279273336,0.8628786358187126,0.015656413596490434,0.10665623742109619,0.15979433059692383,0.8529939651489258,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
2,0.8494444444444444,0.3392948695692307,0.022060381593714918,0.018610582010582015,0.11534255599472987,0.35068940989911346,0.7190375016530588,0.11146899879297581,0.8630128132186217,0.013568368774177178,0.10663576761560091,0.15552115440368652,0.8451440334320068,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
3,0.8474444444444444,0.3383710864095832,0.021580785634118943,0.018887830687830683,0.20297979797979804,0.3493675319664867,0.7155617401464038,0.11119062362209857,0.8623794869839185,0.014935042539474086,0.10654273223641232,0.1537933349609375,0.827465295791626,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
4,0.8474444444444444,0.3383804619439429,0.021444444444444443,0.019188888888888898,0.12658177519879643,0.35362937473600176,0.7127395960666415,0.11363849506877506,0.8598745181677724,0.012430073723327939,0.10664374535338925,0.1543135643005371,0.8245792388916016,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
5,0.8493333333333334,0.3354053027642175,0.021263232323232347,0.018731746031746013,0.11355699855699852,0.35426130936739647,0.7050734506954917,0.12125533547967553,0.8525782016373831,0.003244868304049617,0.10566752479619015,0.154860258102417,0.8262979984283447,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
6,0.848,0.3344403235283247,0.023218563411896757,0.02220079365079367,0.10852758352758352,0.35508675356666597,0.6982794735901116,0.12427083817852466,0.848756809210308,0.0007568092103080598,0.10534191894932458,0.15705204010009766,0.8363585472106934,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
7,0.8487777777777777,0.3353453613339027,0.022247934904601575,0.0197351851851852,0.4336868686868686,0.3559193931124092,0.7026853525935409,0.12306588409699856,0.8505838306958708,0.0018060529180930485,0.10586874091877344,0.15389800071716309,0.8351550102233887,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
8,0.8468888888888889,0.33622249257511955,0.01888077441077442,0.018586772486772457,0.0805555555555556,0.3550820767804685,0.7043571271356093,0.11874102966415695,0.8541733325658517,0.007284443676962793,0.106034274484389,0.15146183967590332,0.8282654285430908,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
9,0.8481111111111111,0.33816805465683225,0.020821156004489333,0.018907407407407397,0.301969696969697,0.3556793791838879,0.7118749718916024,0.11542262345882029,0.8583458001905162,0.010234689079405002,0.10665631165492954,0.1581265926361084,0.8295745849609375,GPcalib_lin,PCam,random_forest,2,10000,1000,9000
0,0.5922222222222222,0.6649044941966755,0.05339409652076321,0.05343518518518519,0.1287503750375038,0.037874183222471734,0.5905251246496541,0.3934551186875298,0.6000123805399663,0.0077901583177441,0.2361852374829325,0.1526656150817871,0.860987663269043,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
1,0.5932222222222222,0.664924762758734,0.05509497194163862,0.05367910052910053,0.12163349917081256,0.03421655423243087,0.5855744780054345,0.3993479630523438,0.5945188210268258,0.0012965988046035881,0.23617287552113025,0.15676259994506836,0.82600998878479,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
2,0.5916666666666667,0.6648760841493404,0.0552448484848485,0.054979365079365065,0.335,0.03823677887199038,0.5909318592975882,0.39273499603076867,0.6005956365616437,0.008928969894977046,0.23617439710627502,0.15220928192138672,0.830249547958374,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
3,0.5918888888888889,0.6651374722831381,0.051878877665544346,0.04894894179894179,0.12449494949494955,0.040652912953484915,0.5932892432240263,0.39033551740280853,0.6029815654618987,0.011092676573009719,0.23630891552452613,0.15233492851257324,0.8572940826416016,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
4,0.5928888888888889,0.6648349361881651,0.05393277216610551,0.05293201058201061,0.1301761517615176,0.03461262820795481,0.5866319990644544,0.3980182443807654,0.5957326991729329,0.002843810284044068,0.23613279820933936,0.15785503387451172,0.8381357192993164,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
5,0.5927777777777777,0.6651634063178682,0.05444109988776657,0.04724867724867724,0.10654097364623683,0.04063294814362558,0.5940510594229792,0.389947790097982,0.6035361858458316,0.010758408068053893,0.23632219586055636,0.15487313270568848,0.8222806453704834,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
6,0.5893333333333334,0.6596145943822548,0.02758086419753087,0.025917195767195766,0.4042929292929293,0.11235946774635466,0.5667480043046889,0.4016089030313844,0.5853963335812964,0.003936999752037013,0.23374024753681508,0.1535038948059082,1.6534521579742432,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
7,0.5931111111111111,0.6648382674543206,0.05570953984287318,0.05365264550264548,0.13636752136752134,0.033975683506500376,0.5857697726372987,0.3990538101797116,0.5947710742953874,0.0016599631842763585,0.23613126148191022,0.15227413177490234,0.8289124965667725,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
8,0.5911111111111111,0.6658866578513465,0.05675413019079685,0.05583518518518516,0.15232761137385414,0.048976510402998455,0.6038721309417746,0.3783464132067151,0.614382947067334,0.023271835956222897,0.2367055237126132,0.1533522605895996,0.8285136222839355,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
9,0.593,0.6651250590776521,0.05428120089786758,0.046645502645502636,0.13557603057603057,0.028482954096957582,0.5780099372585459,0.4076204315083704,0.5865311285797645,0.006468871420235445,0.2362365833947471,0.17429065704345703,0.8593859672546387,GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000
