,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size,logits
1,0.7258,1.1135295844299669,0.03573819612155394,0.015753314272305176,0.16233477633477633,0.3006204458323997,0.4855226378327395,0.15465130271156874,0.7466843917856806,0.020884391785680592,0.2217726707458496,0.010396003723144531,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
2,0.7236,1.1148947814688366,0.03717114931900055,0.0169596273171478,0.1736503747148908,0.302832220445417,0.48060946456117515,0.15369907134399313,0.7452238079801953,0.021623807980195378,0.2209606170654297,0.010425806045532227,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
3,0.7241,1.141949336902527,0.03905793901000489,0.018534157873334726,0.17731610219845512,0.3001360730592127,0.48580031240001964,0.14878423641673044,0.7503976406018109,0.02629764060181093,0.22098422050476074,0.010259389877319336,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
4,0.7234,1.11037262330249,0.03800090897203847,0.021262101073979873,0.1595887445887446,0.29772932239464056,0.4892465155833886,0.15240787419726304,0.7484737300160652,0.025073730016065193,0.22098660469055176,0.010469436645507812,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
5,0.7299,1.0710883053499434,0.03453169748621364,0.014908260938850572,0.1378585858585858,0.2954573509472121,0.4853419746334152,0.15299407790273842,0.7493204898872766,0.019420489887276696,0.22047162055969238,0.01035928726196289,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
6,0.7219,1.1200842149499364,0.03992549910411807,0.018897847245265484,0.20978787878787886,0.3008508413901927,0.48533440359004243,0.15517705822589223,0.7448491793051192,0.022949179305119208,0.22068238258361816,0.010300636291503906,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
7,0.7244,1.1125763173864955,0.03747692939531753,0.01919843491036987,0.1531660079051383,0.304552285134509,0.4837529149159957,0.15391750925365502,0.7462244596475007,0.021824459647500682,0.22163105010986328,0.010415315628051758,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
8,0.7237,1.1251894579325514,0.036674241125658605,0.018909302361673444,0.13536363636363635,0.2973536218815156,0.48769117552835045,0.15099953370841535,0.749170709253703,0.02547070925370304,0.22250580787658691,0.010431766510009766,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
9,0.72,1.1261088571857243,0.042145775305102384,0.02454165315764765,0.15822749886929,0.3009775706606705,0.49058916216603865,0.15692274186930283,0.7443805912605929,0.024380591260592818,0.22318053245544434,0.010360002517700195,Uncal,ImageNet,vgg19,1000,50000,1000,10000,True
0,0.7552,0.9941326399205521,0.04611224419752967,0.030544732374691904,0.454040404040404,0.2539721804406289,0.5360944061601137,0.12291202640140995,0.7936127482896511,0.038412748289651064,0.2204596996307373,0.010331869125366211,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
1,0.7661,0.9427168775601065,0.04199363112158244,0.02567069213170031,0.1798152958152958,0.24467491941546726,0.5430395531778487,0.1194697766838697,0.8015911555707863,0.035491155570786234,0.2227025032043457,0.010344505310058594,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
2,0.7679,0.9412413697183414,0.042225065305495225,0.023454517239193184,0.2591111111111111,0.24231982437050378,0.5456464051970464,0.12207433497478778,0.8008036488190949,0.03290364881909491,0.2220749855041504,0.010190248489379883,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
3,0.7583,0.9903347884523243,0.043808186545903814,0.027128729718993702,0.1940011883541295,0.24754841892875704,0.5440176440495608,0.12497447991654445,0.7950209164460632,0.036720916446063206,0.22272920608520508,0.01019906997680664,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
4,0.7611,0.9587806262556305,0.04584009740746145,0.029605892439312442,0.42407070707070704,0.24871616170941016,0.5423842689554508,0.12269676117057546,0.7972910969265322,0.036191096926532204,0.2229316234588623,0.010188102722167969,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
5,0.7645,0.9467660895817244,0.03942820365605463,0.02432640774111477,0.36263203463203464,0.24827398491328492,0.540970723772275,0.12266250470674712,0.7981231206000625,0.03362312060006262,0.22090935707092285,0.010289907455444336,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
6,0.759,0.9751455506314707,0.043797514712006456,0.025231224739554078,0.454040404040404,0.25063065106763244,0.5421883800080486,0.1261481328771316,0.7939209667281968,0.034920966728196806,0.22281241416931152,0.010329484939575195,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
7,0.764,0.9443070753025302,0.04837450436768436,0.029015671238783257,0.27738383838383834,0.24877117147544095,0.5446327089014529,0.12275308740252248,0.7987499605252156,0.0347499605252157,0.22270631790161133,0.01044917106628418,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
8,0.7564,0.9673253925304208,0.04359883585883529,0.028602371148202816,0.954040404040404,0.24916842295224628,0.5414671993326728,0.12640714614006715,0.7926870444170924,0.03628704441709235,0.22348260879516602,0.01025533676147461,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
9,0.7618,0.9516522304566056,0.04539136151933823,0.027251249603396827,0.954040404040404,0.24583727059686725,0.545512727789476,0.12447330769413696,0.7969173659580596,0.03511736595805964,0.22295880317687988,0.01027822494506836,Uncal,ImageNet,resnet50,1000,50000,1000,10000,True
0,0.7825,0.8871086473308404,0.05466521954250996,0.039735572696407984,0.2628146167557932,0.20448923260319152,0.5936694748337272,0.0972089972626861,0.8355570704182839,0.05305707041828381,0.22802734375,0.010358810424804688,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
1,0.7832,0.8856331763234184,0.05569885214274417,0.038419102298008836,0.2906889585510275,0.20563395856032538,0.5921648529102677,0.0997099378564959,0.8334885167817385,0.05028851678173843,0.22866106033325195,0.010339975357055664,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
2,0.7792,0.8928224513834011,0.05252487303455029,0.036054299718881855,0.22827128427128424,0.2126210827707893,0.5797741760804179,0.10127437695869564,0.8283011435523407,0.04910114355234063,0.2278273105621338,0.010390758514404297,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
3,0.7849,0.8632596415582018,0.05220135455683817,0.03564092491589922,0.944050505050505,0.20783909413225726,0.5856293442980586,0.09751752393491389,0.8343273674219985,0.04942736742199845,0.22876620292663574,0.010271549224853516,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
4,0.7801,0.8898866638158425,0.054367793473470864,0.03963229795286692,0.25524242424242427,0.20570184636048253,0.5868818936134287,0.09713194991664935,0.8333826942756148,0.053282694275614786,0.22895359992980957,0.01030731201171875,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
5,0.7822,0.8903053761466887,0.05529501236784021,0.037727400429779505,0.944050505050505,0.20801357931125056,0.5911920675039526,0.09989318204282452,0.8328251853084635,0.050625185308463536,0.2289257049560547,0.01022481918334961,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
6,0.787,0.8885799647449328,0.05392405349560985,0.036181713198416475,0.944050505050505,0.2071972767391217,0.5951446198957688,0.10158354860480116,0.8338195512858203,0.04681955128582023,0.23018193244934082,0.01026463508605957,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
7,0.7827,0.8735841247350123,0.05793150743036733,0.03960044204413473,0.2673939393939394,0.2061992722302664,0.5915985959886811,0.0983763347170561,0.8342552177253006,0.051555217725300626,0.22975778579711914,0.010370731353759766,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
8,0.7841,0.8649264470751459,0.05488022685610456,0.03465149669093096,0.23010101010101014,0.20941223564459002,0.5861490255515214,0.10000762981564143,0.832233592078129,0.048133592078129006,0.2295980453491211,0.010161399841308594,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
9,0.782,0.8829025934778101,0.053543807370239685,0.03627872280511942,0.20524242424242423,0.207405979821396,0.5852578188608332,0.09952080239463332,0.8317609370390584,0.04976093703905836,0.23277783393859863,0.010242462158203125,Uncal,ImageNet,resnet152,1000,50000,1000,10000,True
0,0.7444,1.0230306530732622,0.03748848073622405,0.017018566738978322,0.2365930735930736,0.2672776518861181,0.5132892144449149,0.14309207745311672,0.7690789807560201,0.024678980756020194,0.2283930778503418,0.010375499725341797,Uncal,ImageNet,densenet121,1000,50000,1000,10000,True
1,0.7408,1.0505272922131839,0.03609520536735392,0.01872400423139245,0.16408080808080808,0.27041139345754117,0.5116155364647158,0.14863910611565687,0.7632988972411757,0.022498897241175708,0.22886228561401367,0.010635614395141602,Uncal,ImageNet,densenet121,1000,50000,1000,10000,True
2,0.7452,1.0176751225299079,0.037469649913136754,0.01726012727427213,0.21363442940038685,0.26889210406078673,0.5136870391446021,0.14480831891684867,0.768176298317209,0.022976298317209,0.22861838340759277,0.010320425033569336,Uncal,ImageNet,densenet121,1000,50000,1000,10000,True
