,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
4,0.807,0.41642934745010196,0.039192345679012336,0.01845396825396826,0.23252136752136748,0.35641060084732473,0.7061452179882631,0.15374616680390663,0.8192128704609821,0.0122128704609821,0.13452922782976798,Beta,PCam,XGBoost,2,10000,1000,9000
5,0.8098888888888889,0.409999341680405,0.0393878002244669,0.029005555555555555,0.17105363984674327,0.35564996779045804,0.6771190553384786,0.17943192984099307,0.7932968185636821,0.016592070325206848,0.13229645923005307,Beta,PCam,XGBoost,2,10000,1000,9000
6,0.8052222222222222,0.41476042633618726,0.03729684624017957,0.0172600529100529,0.16974747474747476,0.36095082393523603,0.6982767900677979,0.15694227740017883,0.8148576142966394,0.009635392074417104,0.13407444798557344,Beta,PCam,XGBoost,2,10000,1000,9000
7,0.8072222222222222,0.41133764789255123,0.036066240179573515,0.02143201058201058,0.1451320901320901,0.3611175516979762,0.6824612656408814,0.17192934191094245,0.8000004029893257,0.007221819232896359,0.13291613266631971,Beta,PCam,XGBoost,2,10000,1000,9000
8,0.8066666666666666,0.41318294004910594,0.033579573512906837,0.01349047619047619,0.16042660649043639,0.3612698874784233,0.6963203885480428,0.15903276621992218,0.8130021770352176,0.006335510368551067,0.13345559518088296,Beta,PCam,XGBoost,2,10000,1000,9000
9,0.8061111111111111,0.41272496206596576,0.03194316498316498,0.01713862433862432,0.17539627039627037,0.3594511756645737,0.6954740415469368,0.15925140256225326,0.8125814752122508,0.006470364101139714,0.1333893951682443,Beta,PCam,XGBoost,2,10000,1000,9000
0,0.7963333333333333,0.4061864712096926,0.030643975795129147,0.018591622928190953,0.16520202020202013,0.49213732464825155,0.6478717274249879,0.17553907204071706,0.7884955941171314,0.007837739216201817,0.1357223625158492,Beta,PCam,mondrian_forest,2,10000,1000,9000
1,0.799,0.40234623890936483,0.04085245896087724,0.03706844931731009,0.16823232323232318,0.5022420038198607,0.6289818608921831,0.19153407406710057,0.7723896288597154,0.026610371140284583,0.13504382657632377,Beta,PCam,mondrian_forest,2,10000,1000,9000
2,0.7962222222222223,0.40423707661009317,0.0328436320407931,0.02177036682555781,0.14293650793650792,0.49281459424989854,0.6490237029281544,0.17265267844480453,0.7910089308260851,0.005213291396137187,0.1352101948493336,Beta,PCam,mondrian_forest,2,10000,1000,9000
3,0.7992222222222222,0.40383297623120895,0.03863399742040673,0.029506346898633563,0.13803030303030306,0.5089505138224066,0.6367980958057482,0.18411796994039054,0.7799259557044176,0.01929626651780464,0.1351704930681655,Beta,PCam,mondrian_forest,2,10000,1000,9000
4,0.7996666666666666,0.40295611928241337,0.03319831102025546,0.019222793354123822,0.14853535353535352,0.49361953730043523,0.6493429190728777,0.17529472006359437,0.7895743536434122,0.010092313023254446,0.13496347538761122,Beta,PCam,mondrian_forest,2,10000,1000,9000
5,0.7964444444444444,0.40182227341449417,0.03259855871783736,0.022909802596684996,0.1542864818396733,0.4801152887059675,0.6487726795797272,0.1747909171871134,0.7892944727325368,0.007149971711907593,0.13496770151791332,Beta,PCam,mondrian_forest,2,10000,1000,9000
6,0.7995555555555556,0.4024306313817099,0.038751571564424235,0.030792700592262294,0.1498484848484849,0.4841801847642156,0.6374437918631688,0.18778256284162995,0.7771850309236431,0.022370524631912553,0.13500409863456864,Beta,PCam,mondrian_forest,2,10000,1000,9000
7,0.7952222222222223,0.40342835882463657,0.038724776780997776,0.02539422390907289,0.1456288693385468,0.49749583202675385,0.6349017731667016,0.18581016320679758,0.7774756255416867,0.01774659668053552,0.13585690255228688,Beta,PCam,mondrian_forest,2,10000,1000,9000
