n_samples_queried	n_samples	error	log-loss	ECE	MCE	sharpness	overconfidence	underconfidence	avg_confidence	calibration_method	cv_run
4048	10750	0.09680968096809683	1.3616184060396355	0.07738196041826398	0.3396969696969697	0.11923450253803657	0.6211869776377196	0.1400183353639081	0.8368640271709029		0
4124	11000	0.09691969196919692	1.3636787583409562	0.07539696747452518	0.330959595959596	0.1207393803532859	0.620051253721081	0.14035939749566276	0.8364196766211635		0
4196	11250	0.097029702970297	1.3646092821707951	0.07755412763498568	0.6777777777777778	0.1207762760146032	0.6184024811503314	0.13994112868307929	0.8366110235581824		0
4277	11500	0.097029702970297	1.3637286184314468	0.07471201008989782	0.6777777777777778	0.120340807263269	0.6191811633939315	0.13894021717537244	0.8375903722264015		0
4352	11750	0.09592959295929593	1.3627310402542627	0.07592416463868605	0.6865151515151515	0.12092481107001068	0.6180753147929332	0.13958412317572413	0.8371682453510821		0
4427	12000	0.09482948294829485	1.3632596838230442	0.07646724116856125	0.4365151515151515	0.12072867544226414	0.6193210793752274	0.14017899290421812	0.8370145233009395		0
4503	12250	0.09383938393839386	1.3591455937894068	0.07539997333066635	0.6865151515151515	0.11998555322713979	0.6217082893674211	0.1406302156734673	0.837067776053692		0
4586	12500	0.09405940594059403	1.3602037607217847	0.07371847184718468	0.6952525252525252	0.1193890166882539	0.6236954547447048	0.1410483074257337	0.8368236306001986		0
4660	12750	0.09482948294829485	1.3644104105954702	0.0746295574001844	0.6865151515151515	0.1188076598184037	0.6226087066958133	0.14113620307954047	0.8364598488705536		0
4728	13000	0.09449944994499448	1.3651286653165422	0.07430733073307323	0.6777777777777778	0.1187081698181326	0.6240904311202117	0.14133842933168003	0.8364947270080532		0
4807	13250	0.09482948294829485	1.3634368903961596	0.07391692502583587	0.3444444444444444	0.11763163814700879	0.6257833660064362	0.14162707873075153	0.8363165740045021		0
4877	13500	0.09493949394939494	1.3630964074982723	0.0747583758375837	0.34843434343434343	0.11761090767020164	0.6257322916948396	0.14147925635027536	0.8364199258238648		0
4953	13750	0.09504950495049502	1.3636109921067248	0.07426135946928021	0.6777777777777778	0.11783912732940431	0.6258000707084932	0.14070740918039962	0.8370992423733961		0
5024	14000	0.09559955995599556	1.3660990349697264	0.07342998188707754	0.6777777777777778	0.11809980906151273	0.6249348429707886	0.1406409221463921	0.8369482241557894		0
5100	14250	0.09559955995599556	1.3654903008817825	0.07292362507237626	0.6777777777777778	0.11780321849083977	0.6250924040279561	0.13961621300452653	0.8378900343223412		0
5168	14500	0.09570957095709576	1.365508729854827	0.07342042940128533	0.7039898989898989	0.11837494537118746	0.623718356900891	0.13958395767285783	0.8377618084084579		0
5244	14750	0.0961496149614961	1.3654311351782853	0.07263587469858092	0.7039898989898989	0.11803734034759951	0.6236942468085221	0.13897858519186432	0.8382024989850706		0
5317	15000	0.09713971397139709	1.366416724467796	0.0735606949583847	0.7039898989898989	0.1181933170384055	0.6223658332649108	0.1389938642544878	0.8378246850204989		0
5390	15250	0.09735973597359737	1.3673438910089029	0.07455787245391202	0.7039898989898989	0.1174611043615246	0.6224889817712526	0.13927169310257573	0.8375333891046122		0
5470	15500	0.098019801980198	1.3668927058706402	0.07296539098354274	0.6865151515151515	0.11722943613674457	0.6203287803945368	0.13890056001034656	0.8374991476134984		0
5556	15750	0.09779977997799782	1.366756264862821	0.07392753164205304	0.6865151515151515	0.11658008550253017	0.6209453064902214	0.13911602609826937	0.8374180250206711		0
1000	1000	0.11441144114411439	1.3643623819141983	0.060189823196204494	0.6777777777777778	0.1546497232110646	0.595682160771775	0.1390254859897943	0.8306220335516834	GPCalibration	0
1200	1644	0.11419141914191422	1.345250786295295	0.03787085896816513	0.3833838383838384	0.132204350775271	0.6399459005546597	0.11373102332609754	0.8581409950444444	GPCalibration	0
1263	1894	0.1107810781078108	1.3346966460513108	0.04155650048009397	0.6515656565656566	0.13133670182628068	0.6349190010254829	0.11441207703124565	0.857818549547756	GPCalibration	0
1323	2144	0.11210121012101215	1.336365703507223	0.03945228212274036	0.41833333333333333	0.13043656056466338	0.6349928375430551	0.11408937119933006	0.8577824407597998	GPCalibration	0
1378	2394	0.1089108910891089	1.3397402884948815	0.04549167433841208	0.669040404040404	0.12768896126531498	0.6412356967418977	0.1179359186385318	0.8558352473930001	GPCalibration	0
1446	2644	0.10682068206820683	1.3407140718886896	0.04307002550397026	0.6603030303030303	0.1233328716442681	0.6403447156953024	0.11719578055797943	0.8569045298778772	GPCalibration	0
1507	2894	0.10495049504950493	1.3404907489547089	0.04459982350990725	0.36590909090909096	0.12348104526281027	0.6418025308562573	0.11882327061336839	0.8560542887487903	GPCalibration	0
1567	3144	0.10506050605060502	1.3484749893995918	0.04596259955501244	0.4008585858585859	0.12192194722618062	0.6453951043093085	0.11733355696857403	0.8577385961139757	GPCalibration	0
