,accuracy,log-loss,ECE,ECE_15bins,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,cal_time,fit_time,Method,Dataset,Model,n_classes,size,calib_size,test_size
4,0.9327777777777778,0.24435751077295384,0.023433030303030337,0.027998148148148112,0.8410606060606061,0.08323566287127895,0.6841312817034675,0.03390518386785226,0.9471406007622198,0.014362822984441984,0.0026483535766601562,0.008741617202758789,Temp,MNIST,XGBoost,10,10000,1000,9000
5,0.9327777777777778,0.2406389846470818,0.021823827160493813,0.028488359788359743,0.8500505050505051,0.09062233118446053,0.6635162706442684,0.03960631657380517,0.9404369240114098,0.0076591462336319735,0.002523660659790039,0.00879359245300293,Temp,MNIST,XGBoost,10,10000,1000,9000
6,0.9332222222222222,0.24097379219102993,0.02219323232323231,0.029034391534391565,0.8410606060606061,0.08830394366210172,0.6696332621446895,0.03748698520785681,0.9429551557542412,0.009732933532018817,0.002518177032470703,0.008761167526245117,Temp,MNIST,XGBoost,10,10000,1000,9000
7,0.9324444444444444,0.2434623989749619,0.02429712682379352,0.02894894179894181,0.8410606060606061,0.08272383980700183,0.6851995185042257,0.0335516948466509,0.9474483871219416,0.015003942677497224,0.0025730133056640625,0.008805036544799805,Temp,MNIST,XGBoost,10,10000,1000,9000
8,0.9343333333333333,0.23890216000749984,0.021283692480359176,0.028884656084656082,0.8410606060606061,0.08468248585296638,0.6776087836636996,0.03588957690015461,0.9452968154435386,0.01096348211020514,0.002630949020385742,0.009411334991455078,Temp,MNIST,XGBoost,10,10000,1000,9000
9,0.9331111111111111,0.2384568134946101,0.021919371492704853,0.029225396825396842,0.8500505050505051,0.08761853013354584,0.6671886492746455,0.03776604201989254,0.9424987051089199,0.00938759399780878,0.002596616744995117,0.011101007461547852,Temp,MNIST,XGBoost,10,10000,1000,9000
0,0.9144444444444444,0.2799417382013743,0.022031964085297406,0.024190740740740728,0.46520202020202017,0.123984648961686,0.631539247509883,0.053539844291832624,0.9195169224512031,0.005072478006758641,0.003023386001586914,0.011630773544311523,Temp,MNIST,mondrian_forest,10,10000,1000,9000
1,0.9161111111111111,0.27227993190484057,0.02080133557800224,0.028660317460317452,0.7961111111111111,0.1407995233254034,0.5951076803962075,0.06290197432257948,0.9084088356010521,0.0077022755100590035,0.002597808837890625,0.012028217315673828,Temp,MNIST,mondrian_forest,10,10000,1000,9000
2,0.9156666666666666,0.27497049750279834,0.020025106621773293,0.02531137566137563,0.7871212121212121,0.122046520725788,0.6331987024679234,0.05186866984006587,0.9215720118912412,0.0059053452245745874,0.0026416778564453125,0.012044906616210938,Temp,MNIST,mondrian_forest,10,10000,1000,9000
3,0.9144444444444444,0.27558493631998865,0.019565970819304165,0.026863227513227502,0.7961111111111111,0.1253041344292952,0.6286780091042649,0.05338055259797328,0.9194177910143294,0.004973346569884907,0.0026328563690185547,0.011892557144165039,Temp,MNIST,mondrian_forest,10,10000,1000,9000
4,0.9164444444444444,0.27187358273403345,0.016523928170594813,0.02501904761904764,0.7961111111111111,0.13038690269524847,0.6137181169603027,0.057105107321905386,0.915390344307008,0.0010541001374364117,0.0026526451110839844,0.011365890502929688,Temp,MNIST,mondrian_forest,10,10000,1000,9000
5,0.9148888888888889,0.2779623287619676,0.020186778900112223,0.025923809523809554,0.7871212121212121,0.11873024866553135,0.6413781989752108,0.049407677272865005,0.9242747650833602,0.009385876194471239,0.0026471614837646484,0.011888980865478516,Temp,MNIST,mondrian_forest,10,10000,1000,9000
6,0.9157777777777778,0.2738913636420714,0.017794085297418622,0.026231481481481512,0.7961111111111111,0.13556477502287317,0.6077686711866186,0.05904849951663716,0.9128901021937038,0.002887675584074087,0.0025866031646728516,0.012089967727661133,Temp,MNIST,mondrian_forest,10,10000,1000,9000
7,0.9136666666666666,0.2805275469268969,0.02248645342312008,0.02730820105820105,0.7871212121212121,0.11450881289409681,0.6501103502394942,0.04700508739865653,0.926845878717437,0.013179212050770502,0.0025911331176757812,0.011903047561645508,Temp,MNIST,mondrian_forest,10,10000,1000,9000
