,accuracy,log-loss,ECE,MCE,sharpness,overconfidence,underconfidence,avg_confidence,weighted_abs_conf_difference,brier_score,Method,Dataset,Model,n_classes,size,calib_size,test_size
5,0.8115555555555556,0.4128062899623279,0.042063120089786764,0.186039664942104,0.32940586523832205,0.6784309529360665,0.18730506480723189,0.7873936336475053,0.024161921908050332,0.13303568964573523,GPcalib,PCam,XGBoost,2,10000,1000,9000
6,0.8065555555555556,0.41554812491058013,0.030606386083052745,0.2217320261437909,0.32463778438875246,0.706733166526752,0.15928372729069512,0.8147979851688799,0.008242429613324331,0.13457015848676193,GPcalib,PCam,XGBoost,2,10000,1000,9000
7,0.8102222222222222,0.41251397193834577,0.03715497194163862,0.14126072041166382,0.32880381498867706,0.6832694445057012,0.18157174699909098,0.7927781146775962,0.017444107544625942,0.13304980065925692,GPcalib,PCam,XGBoost,2,10000,1000,9000
8,0.8093333333333333,0.41396227655200635,0.0328678002244669,0.18788676236044655,0.3285167015672179,0.703713657706859,0.16360917612708123,0.8110937108572568,0.0017603775239233566,0.13389840669853198,GPcalib,PCam,XGBoost,2,10000,1000,9000
9,0.8073333333333333,0.41330562534590415,0.02917105499438832,0.1812962962962963,0.32044525624388137,0.7037917281503882,0.16169891544656992,0.8123856152197774,0.005052281886443993,0.13375250649137413,GPcalib,PCam,XGBoost,2,10000,1000,9000
0,0.7928888888888889,0.4090428139567483,0.0336428582117471,0.12619630035292684,0.44682830762314635,0.6516934977791218,0.1817827386449215,0.7837283396544582,0.009160549234430743,0.13753191506743517,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
1,0.7964444444444444,0.4100504550691368,0.0421356448543405,0.16363034009822996,0.4957363632088096,0.6225422555218841,0.203011218403608,0.7614792220665588,0.034965222377885574,0.13776055539646706,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
2,0.7937777777777778,0.40810511918542264,0.031767922139118075,0.18725735617039974,0.46307574585625705,0.6460578603764553,0.18389656422854375,0.7810362593344428,0.01274151844333507,0.13712489111819015,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
3,0.7957777777777778,0.40872131984530724,0.03736326432170404,0.1495626477541372,0.47482582283350616,0.6352527200652427,0.19425724067338787,0.7709249046419013,0.024852873135876447,0.13739193794551666,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
4,0.7957777777777778,0.4082206605453988,0.034281949120838005,0.13745310245310238,0.4789550290375091,0.6351649951826844,0.19296604772905732,0.7719344919233627,0.023843285854414975,0.13715263057823596,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
5,0.7937777777777778,0.40624330452165297,0.027902600400136632,0.12905103668261564,0.4204417345601802,0.6645214984424589,0.17272023517785132,0.7937153934442928,6.238433348515482e-05,0.13668400560185398,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
6,0.7961111111111111,0.40742380173413106,0.03874303778526001,0.2128787878787879,0.49819031710983713,0.6339799500283044,0.19049968355467908,0.7737136639591847,0.022397447151926347,0.13697298733248134,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
7,0.7937777777777778,0.4066134664582801,0.034337417208074476,0.12894185760039412,0.45254363333788117,0.6447407703433218,0.1859302230112909,0.7791503729516159,0.0146274048261619,0.1367529187996198,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
8,0.7942222222222223,0.40625978203096264,0.03691529310195977,0.15192480359147026,0.4472634833817679,0.6517818825877063,0.18041596117417813,0.7850540840088229,0.00916813821339929,0.13661928552788583,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
9,0.7937777777777778,0.4065028096347249,0.029466071499306787,0.1562909583641291,0.4404129700531772,0.6560725073211995,0.17739640120496972,0.7882611870422047,0.0055165907355730626,0.13672731569284025,GPcalib,PCam,mondrian_forest,2,10000,1000,9000
0,0.8496666666666667,0.34901131752181686,0.02569734006734007,0.6831818181818181,0.3457503038796878,0.7017467754193809,0.12431280555167946,0.8495381514543031,0.00012851521236340036,0.10490429129258558,GPcalib,PCam,random_forest,2,10000,1000,9000
1,0.8475555555555555,0.3536550497010886,0.025745173961840617,0.5346969696969697,0.3583212476776191,0.710401454965899,0.11436395287233068,0.8589225070781195,0.011366951522563923,0.10644451447213522,GPcalib,PCam,random_forest,2,10000,1000,9000
2,0.8487777777777777,0.3541494205875718,0.02984208754208754,0.702979797979798,0.3667024333497822,0.7085128995948198,0.11623980666151389,0.8572589081401383,0.008481130362360603,0.10635494292248629,GPcalib,PCam,random_forest,2,10000,1000,9000
3,0.8468888888888889,0.35329995748721893,0.029169955106621764,0.5891414141414142,0.3486648042365865,0.7113071095247248,0.11437416701452988,0.8589356995489248,0.012046810660035975,0.10639519849319082,GPcalib,PCam,random_forest,2,10000,1000,9000
4,0.8486666666666667,0.3526619425457979,0.03196574635241301,0.31287878787878787,0.4222054430138862,0.6939027038428451,0.118963548513809,0.8527168776761646,0.004050211009497984,0.10676511135735038,GPcalib,PCam,random_forest,2,10000,1000,9000
5,0.8485555555555555,0.3444584227385149,0.031068372615039277,0.6584343434343434,0.35899220329001813,0.6988191790616135,0.12497852054667592,0.8483366199606683,0.00021893559488717074,0.10565642078494232,GPcalib,PCam,random_forest,2,10000,1000,9000
6,0.8485555555555555,0.35049961598649876,0.027247934904601583,0.46530303030303033,0.3576215266518143,0.6944193052170613,0.12863664219117021,0.8445661640663208,0.0039893914892346755,0.10539598662171774,GPcalib,PCam,random_forest,2,10000,1000,9000
