Method,Dataset,Model,n_classes,size,calib_size,test_size,accuracy_mean,accuracy_std,log-loss_mean,log-loss_std,ECE_mean,ECE_std,MCE_mean,MCE_std,sharpness_mean,sharpness_std,overconfidence_mean,overconfidence_std,underconfidence_mean,underconfidence_std,avg_confidence_mean,avg_confidence_std,weighted_abs_conf_difference_mean,weighted_abs_conf_difference_std
Uncal,ImageNet,alexnet,1000,50000,1000,10000,0.56516,0.003953114102971355,1.914124839766129,0.023815780781066498,0.03525377329486149,0.002548207351778606,0.16166487514188826,0.024797758688804607,0.3847724844141821,0.001958985628114472,0.37032428166108355,0.003307151797193746,0.2520048873903631,0.003742937848323231,0.5837673881211597,0.002991217216509005,0.018607388121159647,0.0036784028374926515
Uncal,ImageNet,vgg19,1000,50000,1000,10000,0.7236999999999999,0.002843706501498825,1.1167302772619931,0.018796166628485243,0.037727856246673123,0.0021914279158851196,0.16225360298638203,0.021316447524153834,0.30008278557411766,0.0026594786391209726,0.48568155747446273,0.00294657176171106,0.1529699875590539,0.0024595305139315177,0.747191249045871,0.0020769942458441436,0.023491249045870945,0.0025218847727495886
Uncal,ImageNet,resnet50,1000,50000,1000,10000,0.76143,0.0042132199351828555,0.9612402640409707,0.019709196837035422,0.04405696446918915,0.0025210935958112153,0.4513175791528732,0.28307916248285714,0.24799130058702393,0.0032203564404934162,0.5425954017343946,0.002800311172673829,0.12345715579677925,0.0020841351031898854,0.7968718024280755,0.0030417413283812442,0.03544180242807547,0.0015757173105096646
Uncal,ImageNet,resnet152,1000,50000,1000,10000,0.78279,0.002242245897903841,0.8819009086591295,0.010776255076938742,0.054503270027027505,0.0016487265148932859,0.45719061727094185,0.3367920520960311,0.20745135581736704,0.0023048205825893266,0.5887461869536657,0.004756116410178364,0.09922242835043973,0.0016064143896624996,0.8329951275886749,0.0019766718834029516,0.05020512758867478,0.002038123412085776
Uncal,ImageNet,densenet121,1000,50000,1000,10000,0.7456,0.0032235246409964284,1.022010952354947,0.018300133625248214,0.03804695947456796,0.0015449726680758305,0.23490730327592035,0.0828259779346461,0.26736097555773014,0.0028397102508504308,0.514807281680344,0.0045056705568496365,0.14547036784288062,0.002254656233316266,0.768103508704505,0.0023680676976677697,0.02250350870450498,0.0032557576935052764
Uncal,ImageNet,densenet201,1000,50000,1000,10000,0.76986,0.0035581518298752183,0.9271060092209449,0.016677017252555847,0.04101085581211687,0.0031546675870007756,0.3795145854145854,0.23474490012235638,0.23785415676528077,0.0033420153266969597,0.5473402194360124,0.00524474188752404,0.12382847919817405,0.0013837342362535306,0.8005033571797995,0.0016590824919233815,0.03064335717979938,0.002778050673533434
Uncal,ImageNet,inceptionv4,1000,50000,1000,10000,0.8010999999999999,0.004808095025868125,0.8512343906571589,0.01785187759260961,0.031839516186205216,0.0024523364945004938,0.33194735591206176,0.21903235043838082,0.18529476285405141,0.002520919970447699,0.5712467651883402,0.003374624189929466,0.13460282520397687,0.0014418567666220198,0.8068917250605159,0.001874550377100858,0.005791725060515902,0.0034062411352087977
Uncal,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000,0.7904899999999999,0.00561336698327212,0.8974654505640617,0.028959608154597225,0.044007305579224006,0.0033194400473631896,0.38596982872200264,0.21326160922727327,0.23106578157792965,0.0029675082093250176,0.5618162354345205,0.004454930652208801,0.11439894545802409,0.0019631121096092942,0.8177753232697063,0.0017811256581100308,0.027285323269706358,0.004789569798353929
Uncal,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000,0.8022400000000001,0.004241383422108099,0.8604866236816001,0.012489056037678171,0.05741860383838386,0.0025796968834599795,0.5350887694680797,0.29910749697606315,0.19372553260497205,0.002323154739729238,0.5073040125826157,0.005381112102415537,0.1880193798310628,0.0016408229431457938,0.751729910395376,0.002108477086044699,0.050510089604624074,0.0026770703870548297
Uncal,ImageNet,polynet,1000,50000,1000,10000,0.8085700000000001,0.002972111109034195,0.8545230481417354,0.019166269933281535,0.08234086006809863,0.0030613533392343972,0.4546425646425646,0.17180759405246807,0.140165564362767,0.0025942543089363442,0.6866684483081305,0.0058849734277484226,0.06008516745663319,0.0013609796878708037,0.8914366465600543,0.0017302290705323046,0.08286664656005419,0.0031678896530333003
Uncal,ImageNet,senet154,1000,50000,1000,10000,0.81174,0.0030452877988423133,0.8389542823905936,0.007856025746722157,0.061200088585858604,0.0015264030465015222,0.40575757575757576,0.20129256391024763,0.16414453774956037,0.003512280420272004,0.5355000547910994,0.005117063108016582,0.18369622426318186,0.0011589010176603666,0.7634324359801197,0.0018090163813541263,0.048307564019880435,0.002368032080829622
Uncal,ImageNet,pnasnet5large,1000,50000,1000,10000,0.82887,0.004103670443774807,0.8102692273209049,0.01793998681112679,0.07019916363636365,0.0024765672365245446,0.5291928229665072,0.26995616622584884,0.12083347089921126,0.0016729926272310638,0.5727536748097709,0.003557784979888647,0.18670486378932022,0.0009547435541916051,0.7721330944719798,0.0015548687565368532,0.056736905528020146,0.002974439606938489
Uncal,ImageNet,nasnetalarge,1000,50000,1000,10000,0.8233900000000001,0.0025739938703199317,0.8053595512883615,0.010888305639272046,0.05295301121212124,0.002721522532926423,0.4551109793588054,0.2630528975412589,0.10409385881093325,0.0030855611753840737,0.6288029433983784,0.005159984304607125,0.1555591557767737,0.0016816735600680794,0.806352241486134,0.002210877068824808,0.01703775851386602,0.0023201767193587967
GPcalib_lin,ImageNet,alexnet,1000,50000,1000,10000,0.5651900000000001,0.003926392180559121,1.9072300684943913,0.022381104319479952,0.03429316843544998,0.0035709616618019814,0.17293716984157237,0.04502378086125707,0.395252300088146,0.004187025679460505,0.33890752619231146,0.010870020630026577,0.2791890580497752,0.008041198597252816,0.5547544434280174,0.00901677413882222,0.010884718002804564,0.008921269430237222
GPcalib_lin,ImageNet,vgg19,1000,50000,1000,10000,0.72369,0.002827818161685009,1.1071359015119215,0.016864134026474922,0.03492357722221316,0.003399700104211245,0.19059075938391518,0.05013571154364524,0.3227812059074303,0.016023647913144177,0.43973400560184295,0.008141003400433344,0.18601936776531158,0.011900745992224536,0.7105718163560054,0.01062894644330646,0.013448636882979776,0.009655977713880456
GPcalib_lin,ImageNet,resnet50,1000,50000,1000,10000,0.76144,0.0042641138196191,0.9444465774467371,0.0201072792700094,0.03322582035845538,0.0019541674078557233,0.3064661616161616,0.10748735306324068,0.2747337833359465,0.010552953766099271,0.48673528227322826,0.012607264495823006,0.16103012389003907,0.015856580884091323,0.7549560300053502,0.014911025382132136,0.013774815660807835,0.007824206041844532
GPcalib_lin,ImageNet,resnet152,1000,50000,1000,10000,0.78271,0.0022902935280099865,0.846521860964016,0.013188391228218806,0.03080420765654866,0.002403213187203866,0.31981644738703563,0.2413098594494852,0.24782174531045414,0.011213773400235503,0.5068052544444127,0.01141584215182946,0.14902306331866594,0.011531094554084582,0.7761902280646241,0.011628084691259387,0.01074198288910724,0.005816170339812264
GPcalib_lin,ImageNet,densenet121,1000,50000,1000,10000,0.7456,0.0032235246409964284,1.017213695609681,0.017927824560742635,0.032807777972619176,0.0018617840542577474,0.2269808136138595,0.04630903476888958,0.2851549802811955,0.008580335478711943,0.4873986647087837,0.012857236311724545,0.16211454916402884,0.007448316192372636,0.7487238428501531,0.008392220059673846,0.00789813150084655,0.005615281796546552
GPcalib_lin,ImageNet,densenet201,1000,50000,1000,10000,0.76977,0.00355872948614466,0.9144009927660628,0.019533548446685024,0.032602532343996946,0.0027348976414668315,0.3200239412761151,0.1283679765853843,0.2573009833590376,0.0074564388635023566,0.5032195282694258,0.015258199651314698,0.1543027192986594,0.014247166730003522,0.7668586217745486,0.013632607110849586,0.013477385751676263,0.007703208261082994
GPcalib_lin,ImageNet,inceptionv4,1000,50000,1000,10000,0.8010100000000001,0.004623959342381821,0.7787952522030162,0.02125605956971807,0.0268445023848078,0.004931221442133116,0.4145185007185007,0.2699175144351603,0.1985641060042443,0.009599668581485586,0.5465094286129089,0.01598505063808792,0.13777608081873524,0.00947498159148288,0.7994168398958416,0.010059569265168065,0.008738356697226017,0.00737238649011288
GPcalib_lin,ImageNet,se_resnext50_32x4d,1000,50000,1000,10000,0.7904399999999999,0.0054734104744868315,0.8228895759316078,0.024855938697922426,0.02789550888742758,0.005073375272893197,0.3769551795147282,0.28838762050531447,0.21415163358544437,0.008473471818520338,0.5312997546040076,0.01605822515932591,0.14632020998841225,0.011324675232713959,0.7861320430272738,0.011713030201724078,0.010668714525815371,0.008915221030649755
GPcalib_lin,ImageNet,se_resnext101_32x4d,1000,50000,1000,10000,0.8023199999999999,0.004120355971676894,0.763872686086403,0.020965116726007423,0.026396375656565656,0.005278880334815807,0.29636505066326096,0.2306696680942843,0.20887223849533557,0.013391029726462684,0.5386964254163897,0.024063402051446865,0.13242678170913874,0.011904237816496684,0.8025589918613256,0.014042381775575152,0.009718926363689914,0.009274148613176787
GPcalib_lin,ImageNet,polynet,1000,50000,1000,10000,0.80852,0.003247494760922984,0.7254576768356263,0.010257469099758665,0.028053009623627063,0.004304255562978813,0.3201018552875696,0.14345556699017914,0.21256304558510192,0.00784864627154436,0.5329386742089038,0.010931475026084735,0.14026113593128525,0.006740068319705838,0.7971683591902929,0.006659012891418682,0.011381368781037706,0.007938809886929594
GPcalib_lin,ImageNet,senet154,1000,50000,1000,10000,0.8119299999999999,0.0029363809925371516,0.736997005069853,0.015545561285231026,0.032082936969696975,0.006329904301283632,0.27242472089314196,0.08736128636537796,0.1716277975221649,0.012738031243258814,0.5774653435573371,0.022916235094769765,0.12487022508226046,0.011336999999646605,0.8191198639096525,0.013775494075227974,0.009683874496483516,0.01021009693715866
GPcalib_lin,ImageNet,pnasnet5large,1000,50000,1000,10000,0.8287600000000002,0.004019452699062415,0.6641413730439463,0.01501307446053922,0.02537050636363637,0.002086261754729639,0.4170511232728624,0.21931062349658784,0.16562550591137995,0.005933944258648551,0.5819357555783145,0.009652678324801257,0.12242542546152843,0.006572677581179773,0.826944383011968,0.007537897220597562,0.005351676344824441,0.002405498391460531
GPcalib_lin,ImageNet,nasnetalarge,1000,50000,1000,10000,0.82323,0.0024585677854302933,0.680160756457798,0.010665216216991734,0.025784705555555554,0.002411557232974611,0.4818055500055499,0.3206491233557414,0.16814000278440044,0.00965429660423839,0.5808012828610558,0.01708920496959636,0.12142139912491978,0.010050169844555222,0.82592743488508,0.011716137610199247,0.009034226617641776,0.004408813258741098
GPcalib,ImageNet,alexnet,1000,50000,1000,10000,0.56526,0.003964621321415497,1.9124780880935908,0.02320595778120662,0.035740965764843216,0.0025223613879212783,0.1696185922594748,0.027858267973252776,0.3888579398804134,0.0069479121744407,0.35982773787002725,0.017879616096027756,0.2610514846047243,0.016843327897632685,0.5741305624981535,0.016866673279004003,0.018231339134715984,0.006079592329538974
GPcalib,ImageNet,vgg19,1000,50000,1000,10000,0.7236900000000002,0.002833705857863313,1.1076826665487143,0.016867111979881406,0.03639767660627714,0.0018011052507109554,0.16001662211190024,0.011431391551067694,0.30726079041912524,0.013327692013788086,0.4534967579907187,0.026471314075527025,0.18064488058033099,0.024277155071567687,0.718258897229277,0.025134083236446295,0.023254162781504377,0.004146339729666093
GPcalib,ImageNet,resnet50,1000,50000,1000,10000,0.76136,0.004140370353804952,0.9392811969762904,0.024405948107031603,0.03353357715769441,0.005440769244611436,0.3160774891774891,0.12218351619936912,0.2628952420136003,0.007562530523775986,0.4876223783072751,0.019762605038817885,0.16656097301606015,0.01767926705606582,0.7509240333106126,0.01759808225649778,0.018118521537608658,0.011307612098962838
